id	name	reason	replaced_by	pr	date	notes
cpd00036_e0	Succinate [e0]	orphaned		#449	2026-08-04	orphaned by removal of EX_cpd00036_e0
cpd00190_c0	beta-D-Glucose [c0]	out_of_scope		#211	2025-04-21	fix: remove unnecessary anomer-specific glucose reactions and metabolites
cpd00213_c0	Lipoamide [c0]	dead_end		#126	2025-03-14	fix: replace disconnected lipoic acid biosynthesis pathway with intact one
cpd00225_c0	Benzaldehyde [c0]	unknown		#316	2025-10-31	fix: remove rxn00196, rxn01032, rxn01033, rxn08703, rxn37372, cpd00225, cpd00340, cpd02027
cpd00340_c0	2,5-Dioxopentanoate [c0]	unknown		#316	2025-10-31	fix: remove rxn00196, rxn01032, rxn01033, rxn08703, rxn37372, cpd00225, cpd00340, cpd02027
cpd00402_c0	CDPglycerol	orphaned		#367	2026-02-03	fix: remove isolated mets
cpd00449_c0	Dihydrolipoamide [c0]	dead_end		#126	2025-03-14	fix: replace disconnected lipoic acid biosynthesis pathway with intact one
cpd00531_c0	Hg2+	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
cpd00531_e0	Hg2+ [e0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
cpd00635_c0	Cbl [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
cpd00635_e0	Cbl [e0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
cpd00663_c0	Acrylyl-CoA	unknown		#286	2025-10-10	fix: add rxn16586_c0 and WP_049586872.1, remove rxn00668_c0, cpd00663_c0, and WP_049586872.1
cpd00666_c0	Tartrate	unknown		#305	2025-10-24	fix: remove reactions rxn01285_c0, rxn01894_c0, rxn02788_c0 and associated metabolites & genes
cpd00703_c0	Indoleacetate	unknown		#293	2025-10-21	fix: remove rxn02222, cpd00703, and cpd01747
cpd00731_e0	Ala-Ala [e0]	out_of_scope		#262	2025-09-23	fix: remove dipeptide uptake reactions and extracellular metabolites
cpd00742_c0	Allophanate	orphaned		#449	2026-08-05	orphaned by removal of rxn00002_c0
cpd00831_c0	L-Rhamnulose 1-phosphate	unknown		#288	2025-10-16	fix several issues with GPRs of aldehyde/carboxylate redox reactions and remove rxn01621_c0, cpd00831_c0, & WP_049588490.1
cpd00965_c0	Hg	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
cpd01012_c0	Cd2+	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
cpd01012_e0	Cd2+ [e0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
cpd01017_e0	Cys-Gly [e0]	out_of_scope		#262	2025-09-23	fix: remove dipeptide uptake reactions and extracellular metabolites
cpd01029_c0	Base Q	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
cpd01046_c0	Allysine [c0]	unknown		#244	2025-09-15	model file wholesale replaced by a new draft; original reason not recoverable
cpd01562_c0	beta-L-Rhamnose	out_of_scope		#268	2025-09-25	fix: remove unnecessary rhamnose anomerization reactions and anomer metabolites
cpd01627_c0	alpha-L-Rhamnose	out_of_scope		#268	2025-09-25	fix: remove unnecessary rhamnose anomerization reactions and anomer metabolites
