id	name	reason	replaced_by	pr	date	notes
EX_cpd00531_e0	Exchange for Hg2+ [e0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
EX_cpd00635_e0	Exchange for Cbl [e0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
EX_cpd00731_e0	Exchange for Ala-Ala [e0]	out_of_scope		#262	2025-09-23	fix: remove dipeptide uptake reactions and extracellular metabolites
EX_cpd01012_e0	Exchange for Cd2+ [e0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
EX_cpd01017_e0	Exchange for Cys-Gly [e0]	out_of_scope		#262	2025-09-23	fix: remove dipeptide uptake reactions and extracellular metabolites
EX_cpd03453_e0	Exchange for Enterobactin [e0]	unknown		#290	2025-10-16	fix: remove EX_cpd03453_e0
EX_cpd03726_e0	Exchange for Fe-enterochlin [e0]	unknown		#290	2025-10-16	fix: remove EX_cpd03726_e0
EX_cpd04097_e0	Exchange for Pb [e0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
EX_cpd11574_e0	Exchange for Molybdate [e0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
rxn00154_c0	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating) [c0]	duplicate	rxn00011_c0; rxn02342_c0; rxn01871_c0; rxn01241_c0	#107	2025-03-11	fix: removed rxn00154_c0 for being a duplicate of rxn00011_c0 + rxn02342_c0 + rxn01871_c0
rxn00196_c0	"2,5-dioxopentanoate:NADP+ 5-oxidoreductase [c0]"	unknown		#316	2025-10-31	"fix: remove rxn00196, rxn01032, rxn01033, rxn08703, rxn37372, cpd00225, cpd00340, cpd02027"
rxn00227_c0	Acetyl phosphate phosphohydrolase [c0]	unknown		#292	2025-10-21	"fix: remove rxn00227_c0, rxn01103_c0, and WP_015066019.1"
rxn00288_c0	Succinate:(acceptor) oxidoreductase [c0]	unknown		#392	2026-03-31	fix: remove rxn00288_c0 and rxn10126_c0 add rxn09272_c0
