geneko	mediaws	media	addtlCpd	growth
none	hgsco:narrative_1740349496319	mbm.media	cpd00027	1
none	hgsco:narrative_1740349496319	l1.media	cpd00027	1
none	hgsco:narrative_1740349496319	mbm.media	cpd00029	1
none	hgsco:narrative_1740349496319	l1.media	cpd00029	1
none	hgsco:narrative_1740349496319	mbm.media	cpd00139	0
none	hgsco:narrative_1740349496319	mbm.media	cpd00737	1
none	hgsco:narrative_1740349496319	mbm.media	cpd00797	1
none	hgsco:narrative_1740349496319	mbm.media	cpd00098	0
none	hgsco:narrative_1740349496319	mbm.media	cpd03727	0
none	hgsco:narrative_1740349496319	mbm.media	cpd00035	1
none	hgsco:narrative_1740349496319	l1.media	cpd00035	1
none	hgsco:narrative_1740349496319	mbm.media	cpd00129	1
none	hgsco:narrative_1740349496319	l1.media	cpd00129	1
none	hgsco:narrative_1740349496319	mbm.media	cpd00076	0
none	hgsco:narrative_1740349496319	mbm.media	cpd00082	0
none	hgsco:narrative_1740349496319	l1.media	cpd00080	1
none	hgsco:narrative_1740349496319	l1.media	cpd23538	1
none	hgsco:narrative_1740349496319	l1.media	cpd00069	1
none	hgsco:narrative_1740349496319	l1.media	cpd00023	1
none	hgsco:narrative_1740349496319	l1.media	cpd00156	1
none	hgsco:narrative_1740349496319	promm.media	cpd00107	1
none	hgsco:narrative_1740349496319	promm.media	cpd00200	0
none	hgsco:narrative_1740349496319	promm.media	cpd00322	1
none	hgsco:narrative_1740349496319	promm.media	cpd00508	0
none	hgsco:narrative_1740349496319	promm.media	cpd00156	1
none	hgsco:narrative_1740349496319	promm.media	cpd00123	1
none	hgsco:narrative_1740349496319	promm.media	cpd00275	0
none	hgsco:narrative_1740349496319	promm.media	cpd00184	0
none	hgsco:narrative_1740349496319	promm.media	cpd00136	0
