geneko	mediaws	media	addtlCpd	growth
none	hgsco:narrative_1726668344695	mbm.media	cpd00027	1
none	hgsco:narrative_1726668344695	l1.media	cpd00027	1
none	hgsco:narrative_1726668344695	mbm.media	cpd00029	1
none	hgsco:narrative_1726668344695	l1.media	cpd00029	1
none	hgsco:narrative_1726668344695	mbm.media	cpd00139	0
none	hgsco:narrative_1726668344695	mbm.media	cpd00737	0
none	hgsco:narrative_1726668344695	mbm.media	cpd29193	1
none	hgsco:narrative_1726668344695	mbm.media	cpd00098	0
none	hgsco:narrative_1726668344695	mbm.media	cpd03727	0
none	hgsco:narrative_1726668344695	mbm.media	cpd00035	1
none	hgsco:narrative_1726668344695	l1.media	cpd00035	1
none	hgsco:narrative_1726668344695	mbm.media	cpd00129	1
none	hgsco:narrative_1726668344695	l1.media	cpd00129	1
none	hgsco:narrative_1726668344695	mbm.media	cpd00076	0
none	hgsco:narrative_1726668344695	mbm.media	cpd00082	0
none	hgsco:narrative_1726668344695	l1.media	cpd00080	1
none	hgsco:narrative_1726668344695	l1.media	cpd23538	1
none	hgsco:narrative_1726668344695	l1.media	cpd00069	1
none	hgsco:narrative_1726668344695	l1.media	cpd00023	1
none	hgsco:narrative_1726668344695	l1.media	cpd00156	1
