compounds	minFlux	maxFlux	name	formula	concentration
cpd00001	-100	1000	H2O	H2O	1
cpd00007	-100	1000	O2	O2	1
cpd00009	-100	1000	Phosphate	HO4P	1
cpd00018	-100	1000	AMP	C10H12N5O7P	1
cpd00023	-100	1000	L-Glutamate	C5H8NO4	1
cpd00027	-100	1000	D-Glucose	C6H12O6	1
cpd00028	-100	1000	Heme	C34H30FeN4O4	1
cpd00030	-100	1000	Mn2+	Mn	1
cpd00033	-100	1000	Glycine	C2H5NO2	1
cpd00034	-100	1000	Zn2+	Zn	1
cpd00035	-100	1000	L-Alanine	C3H7NO2	1
cpd00039	-100	1000	L-Lysine	C6H15N2O2	1
cpd00041	-100	1000	L-Aspartate	C4H6NO4	1
cpd00046	-100	1000	CMP	C9H12N3O8P	1
cpd00048	-100	1000	Sulfate	O4S	1
cpd00051	-100	1000	L-Arginine	C6H15N4O2	1
cpd00054	-100	1000	L-Serine	C3H7NO3	1
cpd00058	-100	1000	Cu2+	Cu	1
cpd00060	-100	1000	L-Methionine	C5H11NO2S	1
cpd00063	-100	1000	Ca2+	Ca	1
cpd00065	-100	1000	L-Tryptophan	C11H12N2O2	1
cpd00066	-100	1000	L-Phenylalanine	C9H11NO2	1
cpd00067	-100	1000	H+	H	1
cpd00069	-100	1000	L-Tyrosine	C9H11NO3	1
cpd00084	-100	1000	L-Cysteine	C3H7NO2S	1
cpd00091	-100	1000	UMP	C9H11N2O9P	1
cpd00092	-100	1000	Uracil	C4H4N2O2	1
cpd00099	-100	1000	Cl-	Cl	1
cpd00107	-100	1000	L-Leucine	C6H13NO2	1
cpd00119	-100	1000	L-Histidine	C6H9N3O2	1
cpd00126	-100	1000	GMP	C10H12N5O8P	1
cpd00129	-100	1000	L-Proline	C5H9NO2	1
cpd00149	-100	1000	Co2+	Co	1
cpd00156	-100	1000	L-Valine	C5H11NO2	1
cpd00161	-100	1000	L-Threonine	C4H9NO3	1
cpd00182	-100	1000	Adenosine	C10H13N5O4	1
cpd00184	-100	1000	Thymidine	C10H14N2O5	1
cpd00205	-100	1000	K+	K	1
cpd00215	-100	1000	Pyridoxal	C8H9NO3	1
cpd00218	-100	1000	Niacin	C6H4NO2	1
cpd00219	-100	1000	Prephenate	C10H8O6	1
cpd00220	-100	1000	Riboflavin	C17H19N4O6	1
cpd00226	-100	1000	HYXN	C5H4N4O	1
cpd00239	-100	1000	H2S	HS	1
cpd00246	-100	1000	Inosine	C10H12N4O5	1
cpd00249	-100	1000	Uridine	C9H12N2O6	1
cpd00254	-100	1000	Mg	Mg	1
cpd00311	-100	1000	Guanosine	C10H13N5O5	1
cpd00322	-100	1000	L-Isoleucine	C6H13NO2	1
cpd00381	-100	1000	L-Cystine	C6H12N2O4S2	1
cpd00383	-100	1000	Shikimate	C7H9O5	1
cpd00393	-100	1000	Folate	C19H17N7O6	1
cpd00438	-100	1000	Deoxyadenosine	C10H13N5O3	1
cpd00531	-100	1000	Hg2+	Hg	1
cpd00541	-100	1000	Lipoate	C8H13O2S2	1
cpd00644	-100	1000	PAN	C9H16NO5	1
cpd00654	-100	1000	Deoxycytidine	C9H13N3O4	1
cpd00793	-100	1000	Thiamine phosphate	C12H17N4O4PS	1
cpd00971	-100	1000	Na+	Na	1
cpd01012	-100	1000	Cd2+	Cd	1
cpd01048	-100	1000	Arsenate	HAsO4	1
cpd03424	-100	1000	Vitamin B12	C62H91CoN13O14PR	1
cpd10515	-100	1000	Fe+2	Fe	1
cpd10516	-100	1000	Fe+3	Fe	1
cpd11595	-100	1000	chromate	H2CrO4	1
