compounds	minFlux	maxFlux	name	formula	concentration
cpd00058	-1000	1000	Cu2+	Cu	1
cpd00007	-20	1000	O2	O2	1
cpd00001	-1000	1000	H2O	H2O	1
cpd00067	-1000	1000	H+	H	1
cpd00971	-1000	1000	Na+	Na	1
cpd00099	-1000	1000	Cl-	Cl	1
cpd00254	-1000	1000	Mg	Mg	1
cpd00048	-1000	1000	Sulfate	O4S	1
cpd00205	-1000	1000	K+	K	1
cpd00063	-1000	1000	Ca2+	Ca	1
cpd09225	-1000	1000	Boric acid	H3BO3	1
cpd00242	-1000	1000	H2CO3	CHO3	1
cpd00009	-1000	1000	Phosphate	HO4P	1
cpd10516	-1000	1000	Fe+3	Fe	1
cpd00013	-1000	1000	NH3	H4N	1
cpd00209	-1000	1000	Nitrate	NO3	1
cpd00305	-1000	1000	Thiamin	C12H17N4OS	1
cpd00104	-1000	1000	BIOT	C10H15N2O3S	1
cpd01826	-1000	1000	Dicopac	C63H88CoN14O14P	1
cpd00393	-1000	1000	Folate	C19H17N7O6	1
cpd00443	-1000	1000	ABEE	C7H6NO2	1
cpd00133	-1000	1000	Nicotinamide	C6H6N2O	1
cpd00121	-1000	1000	L-Inositol	C6H12O6	1
cpd00644	-1000	1000	PAN	C9H16NO5	1
cpd00263	-1000	1000	Pyridoxol	C8H11NO3	1
cpd00034	-1000	1000	Zn2+	Zn	1
cpd00149	-1000	1000	Co2+	Co	1
cpd00030	-1000	1000	Mn2+	Mn	1
cpd11574	-1000	1000	Molybdate	MoO4	1
cpd03387	-1000	1000	Selenite	O3Se	1
cpd00244	-1000	1000	Ni2+	Ni	1
