compounds	minFlux	maxFlux	name	formula	concentration
cpd00067	-1000	1000	H+	H	1
cpd00058	-1000	1000	Cu2+	Cu	1
cpd00007	-20	1000	O2	O2	1
cpd00971	-1000	1000	Na+	Na	1
cpd00063	-1000	1000	Ca2+	Ca	1
cpd00048	-1000	1000	Sulfate	O4S	1
cpd10516	-1000	1000	Fe+3	Fe	1
cpd00254	-1000	1000	Mg	Mg	1
cpd00009	-1000	1000	Phosphate	HO4P	1
cpd00205	-1000	1000	K+	K	1
cpd00013	-1000	1000	NH3	H4N	1
cpd00099	-1000	1000	Cl-	Cl	1
cpd00030	-1000	1000	Mn2+	Mn	1
cpd00075	-1000	1000	Nitrite	HNO2	1
cpd00001	-1000	1000	H2O	H2O	1
cpd00034	-1000	1000	Zn2+	Zn	1
cpd00149	-1000	1000	Co2+	Co	1
cpd00010	-100	1000	CoA	C21H32N7O16P3S	1
cpd11493	-100	1000	ACP	C11H22N2O7PRS	1
cpd00015	-100	1000	FAD	C27H31N9O15P2	1
cpd00016	-100	1000	Pyridoxal phosphate	C8H8NO6P	1
cpd00220	-100	1000	Riboflavin	C17H19N4O6	1
cpd00017	-100	1000	S-Adenosyl-L-methionine	C15H23N6O5S	1
cpd00201	-100	1000	10-Formyltetrahydrofolate	C20H21N7O7	1
cpd00087	-100	1000	Tetrahydrofolate	C19H21N7O6	1
cpd00345	-100	1000	5-Methyltetrahydrofolate	C20H23N7O6	1
cpd00028	-100	1000	Heme	C34H30FeN4O4	1
cpd00557	-100	1000	Siroheme	C42H36FeN4O16	1
cpd00264	-100	1000	Spermidine	C7H22N3	1
cpd00118	-100	1000	Putrescine	C4H14N2	1
cpd00056	-100	1000	TPP	C12H17N4O7P2S	1
cpd15560	-100	1000	Ubiquinone-8	C49H74O4	1
cpd15540	-100	1000	Phosphatidylglycerol dioctadecanoyl	C42H82O10P	1
cpd15533	-100	1000	phosphatidylethanolamine dioctadecanoyl	C41H82NO8P	1
cpd03736	-100	1000	Lauroyl-KDO2-lipid IV(A)	C96H170N2O38P2	1
cpd02229	-100	1000	Bactoprenyl diphosphate	C55H90O7P2	1
cpd15665	-100	1000	Peptidoglycan polymer (n subunits)	C80H125N16O42R	1
