compounds	minFlux	maxFlux	name	formula	concentration
cpd00034	-100	1000	Zn2+	Zn	1
cpd03387	-100	1000	Selenite	O3Se	1
cpd00007	-100	1000	O2	O2	1
cpd00244	-100	1000	Ni2+	Ni	1
cpd00971	-100	1000	Na+	Na	1
cpd11574	-100	1000	Molybdate	MoO4	1
cpd00030	-100	1000	Mn2+	Mn	1
cpd00254	-100	1000	Mg	Mg	1
cpd00205	-100	1000	K+	K	1
cpd00048	-100	1000	Sulfate	O4S	1
cpd00009	-100	1000	Phosphate	HO4P	1
cpd00001	-100	1000	H2O	H2O	1
cpd00067	-100	1000	H+	H	1
cpd10516	-100	1000	Fe+3	Fe	1
cpd10515	-100	1000	Fe+2	Fe	1
cpd00209	-10	1000	Nitrate	NO3	1
cpd00149	-100	1000	Co2+	Co	1
cpd00058	-100	1000	Cu2+	Cu	1
cpd00099	-100	1000	Cl-	Cl	1
cpd00063	-100	1000	Ca2+	Ca	1
cpd00013	-10	1000	NH3	H4N	1
cpd00242	-100	1000	H2CO3	CHO3	1
