medium	description	compound	name
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	o2	O2
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	na1	Na+
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	cl	Cl-
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	so4	Sulfate
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	k	K+
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	f	F-
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	h2co3	H2CO3
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	mg2	Mg
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	ca2	Ca2+
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	fe3	Fe+3
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	nh3	NH3
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	pi	Phosphate
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	h2o	H2O
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	btn	BIOT
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	fol	Folate
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	pydxn	Pyridoxol
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	ribflv	Riboflavin
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	thm	Thiamin
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	ncam	Nicotinamide
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	pnto__R	PAN
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	b12	Vitamin B12
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	4abz	ABEE
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	cu2	Cu2+
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	mn2	Mn2+
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	zn2	Zn2+
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	cobalt2	Co2+
mbm_glc__D	Minimal Basal Medium (Moran Lab) with Glucose	glc__D	Glucose 
l1_glc__D	L1 Minimal Medium with Glucose	o2	O2
l1_glc__D	L1 Minimal Medium with Glucose	na1	Na+
l1_glc__D	L1 Minimal Medium with Glucose	no3	Nitrate
l1_glc__D	L1 Minimal Medium with Glucose	pi	Phosphate
l1_glc__D	L1 Minimal Medium with Glucose	fe3	Fe+3
l1_glc__D	L1 Minimal Medium with Glucose	cl	Cl-
l1_glc__D	L1 Minimal Medium with Glucose	mn2	Mn2+
l1_glc__D	L1 Minimal Medium with Glucose	zn2	Zn2+
l1_glc__D	L1 Minimal Medium with Glucose	so4	Sulfate
l1_glc__D	L1 Minimal Medium with Glucose	cobalt2	Co2+
l1_glc__D	L1 Minimal Medium with Glucose	cu2	Cu2+
l1_glc__D	L1 Minimal Medium with Glucose	mobd	Molybdate
l1_glc__D	L1 Minimal Medium with Glucose	slnt	Selenite
l1_glc__D	L1 Minimal Medium with Glucose	ni2	Ni2+
l1_glc__D	L1 Minimal Medium with Glucose	k	K+
l1_glc__D	L1 Minimal Medium with Glucose	cro4	chromate
l1_glc__D	L1 Minimal Medium with Glucose	thm	Thiamin
l1_glc__D	L1 Minimal Medium with Glucose	btn	BIOT
l1_glc__D	L1 Minimal Medium with Glucose	b12	Vitamin B12
l1_glc__D	L1 Minimal Medium with Glucose	ca2	Ca2+
l1_glc__D	L1 Minimal Medium with Glucose	mg2	Mg
l1_glc__D	L1 Minimal Medium with Glucose	glc__D	Glucose 
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	o2	O2
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	na1	Na+
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	cl	Cl-
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	so4	Sulfate
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	k	K+
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	f	F-
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	h2co3	H2CO3
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	mg2	Mg
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	ca2	Ca2+
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	fe3	Fe+3
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	nh3	NH3
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	pi	Phosphate
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	h2o	H2O
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	btn	BIOT
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	fol	Folate
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	pydxn	Pyridoxol
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	ribflv	Riboflavin
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	thm	Thiamin
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	ncam	Nicotinamide
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	pnto__R	PAN
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	b12	Vitamin B12
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	4abz	ABEE
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	cu2	Cu2+
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	mn2	Mn2+
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	zn2	Zn2+
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	cobalt2	Co2+
mbm_ac	Minimal Basal Medium (Moran Lab) with Acetate	ac	Acetate
l1_ac	L1 Minimal Medium with Acetate	o2	O2
l1_ac	L1 Minimal Medium with Acetate	na1	Na+
l1_ac	L1 Minimal Medium with Acetate	no3	Nitrate
l1_ac	L1 Minimal Medium with Acetate	pi	Phosphate
l1_ac	L1 Minimal Medium with Acetate	fe3	Fe+3
l1_ac	L1 Minimal Medium with Acetate	cl	Cl-
l1_ac	L1 Minimal Medium with Acetate	mn2	Mn2+
l1_ac	L1 Minimal Medium with Acetate	zn2	Zn2+
l1_ac	L1 Minimal Medium with Acetate	so4	Sulfate
l1_ac	L1 Minimal Medium with Acetate	cobalt2	Co2+
l1_ac	L1 Minimal Medium with Acetate	cu2	Cu2+
l1_ac	L1 Minimal Medium with Acetate	mobd	Molybdate
l1_ac	L1 Minimal Medium with Acetate	slnt	Selenite
l1_ac	L1 Minimal Medium with Acetate	ni2	Ni2+
l1_ac	L1 Minimal Medium with Acetate	k	K+
l1_ac	L1 Minimal Medium with Acetate	cro4	chromate
l1_ac	L1 Minimal Medium with Acetate	thm	Thiamin
l1_ac	L1 Minimal Medium with Acetate	btn	BIOT
l1_ac	L1 Minimal Medium with Acetate	b12	Vitamin B12
l1_ac	L1 Minimal Medium with Acetate	ca2	Ca2+
l1_ac	L1 Minimal Medium with Acetate	mg2	Mg
l1_ac	L1 Minimal Medium with Acetate	ac	Acetate
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	o2	O2
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	na1	Na+
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	cl	Cl-
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	so4	Sulfate
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	k	K+
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	f	F-
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	h2co3	H2CO3
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	mg2	Mg
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	ca2	Ca2+
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	fe3	Fe+3
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	nh3	NH3
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	pi	Phosphate
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	h2o	H2O
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	btn	BIOT
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	fol	Folate
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	pydxn	Pyridoxol
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	ribflv	Riboflavin
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	thm	Thiamin
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	ncam	Nicotinamide
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	pnto__R	PAN
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	b12	Vitamin B12
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	4abz	ABEE
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	cu2	Cu2+
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	mn2	Mn2+
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	zn2	Zn2+
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	cobalt2	Co2+
mbm_glyclt	Minimal Basal Medium (Moran Lab) with Glycolate	glyclt	Glycolate
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	o2	O2
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	na1	Na+
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	cl	Cl-
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	so4	Sulfate
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	k	K+
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	f	F-
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	h2co3	H2CO3
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	mg2	Mg
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	ca2	Ca2+
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	fe3	Fe+3
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	nh3	NH3
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	pi	Phosphate
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	h2o	H2O
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	btn	BIOT
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	fol	Folate
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	pydxn	Pyridoxol
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	ribflv	Riboflavin
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	thm	Thiamin
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	ncam	Nicotinamide
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	pnto__R	PAN
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	b12	Vitamin B12
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	4abz	ABEE
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	cu2	Cu2+
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	mn2	Mn2+
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	zn2	Zn2+
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	cobalt2	Co2+
mbm_chol	Minimal Basal Medium (Moran Lab) with Choline	chol	Choline
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	o2	O2
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	na1	Na+
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	cl	Cl-
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	so4	Sulfate
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	k	K+
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	f	F-
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	h2co3	H2CO3
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	mg2	Mg
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	ca2	Ca2+
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	fe3	Fe+3
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	nh3	NH3
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	pi	Phosphate
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	h2o	H2O
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	btn	BIOT
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	fol	Folate
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	pydxn	Pyridoxol
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	ribflv	Riboflavin
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	thm	Thiamin
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	ncam	Nicotinamide
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	pnto__R	PAN
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	b12	Vitamin B12
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	4abz	ABEE
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	cu2	Cu2+
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	mn2	Mn2+
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	zn2	Zn2+
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	cobalt2	Co2+
mbm_ectoine	Minimal Basal Medium (Moran Lab) with Ectoine	ectoine	Ectoine
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	o2	O2
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	na1	Na+
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	cl	Cl-
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	so4	Sulfate
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	k	K+
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	f	F-
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	h2co3	H2CO3
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	mg2	Mg
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	ca2	Ca2+
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	fe3	Fe+3
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	nh3	NH3
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	pi	Phosphate
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	h2o	H2O
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	btn	BIOT
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	fol	Folate
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	pydxn	Pyridoxol
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	ribflv	Riboflavin
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	thm	Thiamin
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	ncam	Nicotinamide
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	pnto__R	PAN
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	b12	Vitamin B12
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	4abz	ABEE
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	cu2	Cu2+
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	mn2	Mn2+
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	zn2	Zn2+
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	cobalt2	Co2+
mbm_ala__L	Minimal Basal Medium (Moran Lab) with Alanine	ala__L	Alanine
l1_ala__L	L1 Minimal Medium with Alanine	o2	O2
l1_ala__L	L1 Minimal Medium with Alanine	na1	Na+
l1_ala__L	L1 Minimal Medium with Alanine	no3	Nitrate
l1_ala__L	L1 Minimal Medium with Alanine	pi	Phosphate
l1_ala__L	L1 Minimal Medium with Alanine	fe3	Fe+3
l1_ala__L	L1 Minimal Medium with Alanine	cl	Cl-
l1_ala__L	L1 Minimal Medium with Alanine	mn2	Mn2+
l1_ala__L	L1 Minimal Medium with Alanine	zn2	Zn2+
l1_ala__L	L1 Minimal Medium with Alanine	so4	Sulfate
l1_ala__L	L1 Minimal Medium with Alanine	cobalt2	Co2+
l1_ala__L	L1 Minimal Medium with Alanine	cu2	Cu2+
l1_ala__L	L1 Minimal Medium with Alanine	mobd	Molybdate
l1_ala__L	L1 Minimal Medium with Alanine	slnt	Selenite
l1_ala__L	L1 Minimal Medium with Alanine	ni2	Ni2+
l1_ala__L	L1 Minimal Medium with Alanine	k	K+
l1_ala__L	L1 Minimal Medium with Alanine	cro4	chromate
l1_ala__L	L1 Minimal Medium with Alanine	thm	Thiamin
l1_ala__L	L1 Minimal Medium with Alanine	btn	BIOT
l1_ala__L	L1 Minimal Medium with Alanine	b12	Vitamin B12
l1_ala__L	L1 Minimal Medium with Alanine	ca2	Ca2+
l1_ala__L	L1 Minimal Medium with Alanine	mg2	Mg
l1_ala__L	L1 Minimal Medium with Alanine	ala__L	Alanine
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	o2	O2
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	na1	Na+
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	cl	Cl-
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	so4	Sulfate
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	k	K+
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	f	F-
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	h2co3	H2CO3
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	mg2	Mg
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	ca2	Ca2+
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	fe3	Fe+3
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	nh3	NH3
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	pi	Phosphate
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	h2o	H2O
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	btn	BIOT
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	fol	Folate
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	pydxn	Pyridoxol
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	ribflv	Riboflavin
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	thm	Thiamin
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	ncam	Nicotinamide
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	pnto__R	PAN
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	b12	Vitamin B12
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	4abz	ABEE
mbm_pro__L	Minimal Basal Medium (Moran Lab) with Proline	cu2	Cu2+
