medium	description	compound	name
mbm	Minimal Basal Medium (Moran Lab)	o2	O2
mbm	Minimal Basal Medium (Moran Lab)	na1	Na+
mbm	Minimal Basal Medium (Moran Lab)	cl	Cl-
mbm	Minimal Basal Medium (Moran Lab)	so4	Sulfate
mbm	Minimal Basal Medium (Moran Lab)	k	K+
mbm	Minimal Basal Medium (Moran Lab)	cpd00966	HBr
mbm	Minimal Basal Medium (Moran Lab)	cpd09225	Boric acid
mbm	Minimal Basal Medium (Moran Lab)	cpd00552	F-
mbm	Minimal Basal Medium (Moran Lab)	h2co3	H2CO3
mbm	Minimal Basal Medium (Moran Lab)	mg2	Mg
mbm	Minimal Basal Medium (Moran Lab)	ca2	Ca2+
mbm	Minimal Basal Medium (Moran Lab)	cpd09695	Sr2+
mbm	Minimal Basal Medium (Moran Lab)	fe3	Fe+3
mbm	Minimal Basal Medium (Moran Lab)	cpd00240	EDTA
mbm	Minimal Basal Medium (Moran Lab)	cpd28238	tris-hydrochloride
mbm	Minimal Basal Medium (Moran Lab)	nh3	NH3
mbm	Minimal Basal Medium (Moran Lab)	pi	Phosphate
mbm	Minimal Basal Medium (Moran Lab)	h2o	H2O
mbm	Minimal Basal Medium (Moran Lab)	h	H+
mbm	Minimal Basal Medium (Moran Lab)	btn	BIOT
mbm	Minimal Basal Medium (Moran Lab)	fol	Folate
mbm	Minimal Basal Medium (Moran Lab)	pydxn	Pyridoxol
mbm	Minimal Basal Medium (Moran Lab)	ribflv	Riboflavin
mbm	Minimal Basal Medium (Moran Lab)	thm	Thiamin
mbm	Minimal Basal Medium (Moran Lab)	ncam	Nicotinamide
mbm	Minimal Basal Medium (Moran Lab)	pnto__R	PAN
mbm	Minimal Basal Medium (Moran Lab)	cpd01826	Dicopac
mbm	Minimal Basal Medium (Moran Lab)	4abz	ABEE
mbm	Minimal Basal Medium (Moran Lab)	cu2	Cu2+
mbm	Minimal Basal Medium (Moran Lab)	mn2	Mn2+
mbm	Minimal Basal Medium (Moran Lab)	zn2	Zn2+
mbm	Minimal Basal Medium (Moran Lab)	cobalt2	Co2+
l1	L1 Minimal Medium	o2	O2
l1	L1 Minimal Medium	h2o	H2O
l1	L1 Minimal Medium	h	H+
l1	L1 Minimal Medium	na1	Na+
l1	L1 Minimal Medium	no3	Nitrate
l1	L1 Minimal Medium	pi	Phosphate
l1	L1 Minimal Medium	cpd20826	Silica
l1	L1 Minimal Medium	cpd00240	EDTA
l1	L1 Minimal Medium	fe3	Fe+3
l1	L1 Minimal Medium	cl	Cl-
l1	L1 Minimal Medium	mn2	Mn2+
l1	L1 Minimal Medium	zn2	Zn2+
l1	L1 Minimal Medium	so4	Sulfate
l1	L1 Minimal Medium	cobalt2	Co2+
l1	L1 Minimal Medium	cu2	Cu2+
l1	L1 Minimal Medium	mobd	Molybdate
l1	L1 Minimal Medium	slnt	Selenite
l1	L1 Minimal Medium	ni2	Ni2+
l1	L1 Minimal Medium	cpd08438	ortho-Vanadate
l1	L1 Minimal Medium	k	K+
l1	L1 Minimal Medium	cro4	chromate
l1	L1 Minimal Medium	thm	Thiamin
l1	L1 Minimal Medium	btn	BIOT
l1	L1 Minimal Medium	cpd01826	Dicopac
l1	L1 Minimal Medium	ca2	Ca2+
l1	L1 Minimal Medium	mg2	Mg
