metabolite,name,coefficient,formula,formula_weight (g/mol),weight_contribution (g),carbon_content (mol C/mol biomass)
cpd00001_c0,H2O,-73.8332970182963,H2O,18.01528,1.3301275191077733,0.0
cpd00002_c0,ATP,-79.73915878971827,C10H13N5O13P3,504.157203,40.20107126499723,797.3915878971827
cpd00003_c0,NAD,-0.00214538736074901,C21H26N7O14P2,662.4171620000001,0.0014211414068980297,0.04505313457572921
cpd00006_c0,NADP,-0.00214538736074901,C21H25N7O17P3,740.3811830000001,0.0015884044321446001,0.04505313457572921
cpd00010_c0,CoA,-0.00214538736074901,C21H32N7O16P3S,763.5023630000001,0.0016380083194822027,0.04505313457572921
cpd00015_c0,FAD,-0.00214538736074901,C27H30N9O15P2,782.525922,0.0016788212225172657,0.05792545874022327
cpd00016_c0,Pyridoxal phosphate,-0.00214538736074901,C8H8NO6P,245.125981,0.000525890181428602,0.01716309888599208
cpd00017_c0,S-Adenosyl-L-methionine,-0.00214538736074901,C15H23N6O5S,399.44532000000004,0.0008569649408383439,0.03218081041123515
cpd00028_c0,Heme,-0.00214538736074901,C34H30FeN4O4,614.4714,0.0013182791751017492,0.07294317026546634
cpd00030_c0,Mn2+,-0.00214538736074901,Mn,54.938049,0.0001178633959488098,0.0
cpd00034_c0,Zn2+,-0.00214538736074901,Zn,65.409,0.00014032764187923202,0.0
cpd00042_c0,GSH,-0.00214538736074901,C10H16N3O6S,306.31554,0.0006571654879170078,0.021453873607490098
cpd00048_c0,Sulfate,-0.00214538736074901,O4S,96.0626,0.00020609148788068785,0.0
cpd00056_c0,TPP,-0.00214538736074901,C12H17N4O7P2S,423.298502,0.0009081392560147894,0.02574464832898812
cpd00058_c0,Cu2+,-0.00214538736074901,Cu,63.546,0.0001363307852261566,0.0
cpd00063_c0,Ca2+,-0.00214538736074901,Ca,40.078,8.598283464409883e-05,0.0
cpd00087_c0,Tetrahydrofolate,-0.00214538736074901,C19H21N7O6,443.41334,0.0009512933752235034,0.04076235985423119
