sim_name,oxygen_flux,uptake,uptake_norm,co2,co2_norm,organic_c,organic_c_norm,biomass,biomass_norm,cue,gge,bge
glc_medium_inf_o2_fba,-22.51714728232841,60.0,1,25.355,0.423,0.031,0.001,34.614,0.577,0.577,0.577,94.582
glc_medium_inf_o2_pfba,-22.517147282346194,60.0,1,25.355,0.423,0.031,0.001,34.614,0.577,0.577,0.577,94.582
glc_medium_real_o2_fba,-20.0,60.0,1,22.642,0.377,5.139,0.086,32.219,0.537,0.623,0.537,87.08
glc_medium_real_o2_pfba,-20.0,60.0,1,22.642,0.377,5.139,0.086,32.219,0.537,0.623,0.537,87.08
ace_medium_inf_o2_fba,-30.911331781469602,60.0,1,33.114,0.552,0.024,0.0,26.862,0.448,0.448,0.448,86.838
ace_medium_inf_o2_pfba,-30.911331781469382,60.0,1,33.114,0.552,0.024,0.0,26.862,0.448,0.448,0.448,86.838
ace_medium_real_o2_fba,-20.0,37.919,1,21.357,0.563,0.015,0.0,16.548,0.436,0.437,0.436,54.452
ace_medium_real_o2_pfba,-20.0,37.919,1,21.357,0.563,0.015,0.0,16.548,0.436,0.437,0.436,54.452
glc_heavy_mix_medium_inf_o2_fba,-25.285615780897402,60.002,1,27.914,0.465,0.029,0.0,32.059,0.534,0.535,0.534,92.032
glc_heavy_mix_medium_inf_o2_pfba,-25.285615780898393,60.002,1,27.914,0.465,0.029,0.0,32.059,0.534,0.535,0.534,92.032
glc_heavy_mix_medium_real_o2_fba,-20.0,49.271,1,22.216,0.451,0.024,0.0,27.031,0.549,0.549,0.549,76.278
glc_heavy_mix_medium_real_o2_pfba,-20.0,49.271,1,22.216,0.451,0.024,0.0,27.031,0.549,0.549,0.549,76.278
ace_heavy_mix_medium_inf_o2_fba,-28.051959143617093,59.998,1,30.471,0.508,0.027,0.0,29.501,0.492,0.492,0.492,89.472
ace_heavy_mix_medium_inf_o2_pfba,-28.05195914361631,59.998,1,30.471,0.508,0.027,0.0,29.501,0.492,0.492,0.492,89.472
ace_heavy_mix_medium_real_o2_fba,-20.0,43.651,1,21.791,0.499,0.02,0.0,21.841,0.5,0.501,0.5,65.473
ace_heavy_mix_medium_real_o2_pfba,-20.0,43.651,1,21.791,0.499,0.02,0.0,21.841,0.5,0.501,0.5,65.473
