substrate,met_id,growth_rate,co2_flux,cue,substrate_class
Glucose,cpd00027,0.7502789322950423,22.64180264971308,0.6226366225047819,Monosaccharide
Acetate,cpd00029,0.38534169397880313,21.35682432809909,0.6440529278650151,Organic acid
3-hydroxybutyrate,cpd00797,0.5504366760791946,14.438139279637234,0.7593643453393795,Organic acid
Alanine,cpd00035,0.5854568237974661,22.06144851178168,0.6323091914703054,Amino acid
Proline,cpd00129,0.687151416519905,27.586739671973866,0.5402210054671022,Amino acid
Glycerol-3-phosphate,cpd00080,0.8037297558985101,25.454568070485127,0.5757571988252479,Sugar phosphate
DHPS (dihydroxypropanesulfonate),cpd23538,0.5827409197211268,24.04428301551561,0.5992619497414065,Other
Tyrosine,cpd00069,0.3271950100809109,19.29864308666826,0.678355948555529,Amino acid
Glutamate,cpd00023,0.7095282042850263,28.4983155056648,0.5250280749055867,Amino acid
Valine,cpd00156,0.49216633578818103,30.198806576694526,0.49668655705509124,Amino acid
Leucine,cpd00107,0.4992881333706807,6.758040452599346,0.8873659924566776,Amino acid
Isoleucine,cpd00322,0.5369144790307392,10.083637405757374,0.8319393765707104,Amino acid
3-methyl-2-oxobutanoic acid,cpd00123,0.4913026229902434,17.79384321373134,0.703435946437811,Organic acid
Arginine,cpd00051,0.6126275405627921,32.49918597420636,0.458346900429894,Amino acid
Phenol,cpd00127,0.26518342580189885,16.314922733088416,0.728084621115193,Other
Aspartate,cpd00041,0.6106959003944306,33.751433859600084,0.43747610233999856,Amino acid
Glycine,cpd00033,0.5738177839857125,35.336507014769936,0.4110582164205011,Amino acid
