,PC1,PC2,PC3,PC4,PC5
rxn02201_c0,0.05018940026547996,0.03968456391292974,0.02242608519892815,0.056602452487965214,-0.04078391080662146
rxn07431_c0,0.021605694911223657,-0.02394944926797126,-0.09953860992264285,-0.09414905090147892,0.027121318759952814
rxn00364_c0,0.11174263842230467,-0.05898649922795668,0.0262967431332015,0.017777698203995145,-0.02484762303173367
rxn03408_c0,0.00343384900078977,0.018526370328970743,0.009382348170985039,0.007158949368296122,-0.002798706514311938
rxn01673_c0,-5.023808025354446e-19,-4.0793916389915025e-18,-1.811233301228435e-18,-1.361664570032273e-17,-5.8465672067038e-17
rxn02342_c0,0.04777076922382575,0.03009430207033532,0.01775336697189896,-0.03344477304727438,-0.008678960719588773
rxn04070_c0,-1.092430353580809e-18,1.53017859113412e-17,-2.3038354286539216e-17,3.3022575171829303e-17,1.4928204634888165e-16
rxn00199_c0,-0.07278650039185586,0.049655544590466505,0.03978041621483795,-0.011861217652634775,-0.06335342660703792
rxn03433_c0,0.021605694911223668,-0.02394944926797121,-0.09953860992264266,-0.09414905090147876,0.027121318759952898
rxn02944_c0,0.02000931239306259,0.028239644628645946,-0.05119914537106528,0.13136215360548045,0.05823698476095189
rxn00800_c0,-0.0716533193984456,-0.09190710210745254,0.03560330846502049,-0.005955433110732115,0.006961931943414136
rxn00179_c0,-0.020009312393062605,-0.02823964462864591,0.05119914537106526,-0.13136215360548037,-0.05823698476095191
rxn00587_c0,0.007849516146431602,0.039843834627858656,0.01611516858269846,-0.002401787823058059,-0.10212765636067786
rxn00545_c0,0.010681124044349776,0.028323909380666343,0.08608859774149377,-0.04483878919831759,0.02184761717438939
rxn00501_c0,0.021634261518883792,0.11941877365595081,-0.04002519543197426,-0.046696935145526856,-0.003093811630393288
rxn02320_c0,-3.773309125432737e-19,5.159643410919086e-19,-5.026370412773279e-19,7.750536932825203e-19,1.8933477004800802e-19
rxn02504_c0,0.05022825648842293,0.039591979224554874,0.02242323387797364,0.05669971788535923,-0.04080961548085673
rxn04996_c0,-0.047148548441894866,0.06128753516100302,0.045390950356877235,-0.011962304159662013,-0.07850331739162203
rxn05334_c0,1.6330354185848373e-18,6.592245941392953e-18,-1.1158108232582642e-17,-2.6904044065703247e-18,1.9030165428288205e-17
rxn05040_c0,-2.287380969026955e-19,-2.9200597847422023e-18,9.308980180382427e-19,1.2242043368971356e-18,-1.2459072029088753e-19
rxn02988_c0,-0.04435219383887201,0.01495598309103173,0.04123462516136651,0.10772510602203175,0.027690689217538516
rxn00165_c0,0.012307033509590068,0.015931681299588416,-0.014252244026841885,0.030679055154590577,-0.02012646942831254
rxn01117_c0,-2.775120129790823e-19,6.211543275703643e-20,-7.789322075250296e-19,-3.428965416426495e-19,-1.3520150288446855e-19
rxn01331_c0,-3.7807162742358784e-21,1.822152464161846e-21,-5.946329991162133e-21,1.462660100626935e-20,7.36097266153062e-21
rxn00671_c0,0.021605694911223668,-0.0239494492679712,-0.09953860992264266,-0.09414905090147874,0.027121318759952894
rxn00710_c0,-1.6261289909312399e-18,2.2166232204656806e-18,-1.4801416028335394e-18,-2.738525590095394e-18,9.373263631330609e-19
rxn00910_c0,0.023394409022280096,0.024982556863152504,0.05203137706713231,-0.007630004866586311,0.05613596220010214
rxn01682_c0,0.007976321865320386,-0.07089401491972269,0.011337528785134504,-0.034620761973684806,-0.004736266113296251
rxn03181_c0,8.695705269284286e-20,-3.606875857734234e-20,-1.7932325789355905e-19,9.2800188980313e-21,-1.2648402371098152e-19
rxn02331_c0,3.6760199780962058e-19,8.445015153051541e-20,1.0527943558684463e-18,2.9895953659042527e-19,4.438422787540021e-19
rxn00337_c0,5.672642733203005e-18,2.583846051727216e-18,-1.6925372631924712e-18,-3.83365528544939e-18,-4.9757275975748965e-18
rxn05221_c0,0.009670088031956358,0.015431003171397773,-0.012859308065541544,0.00036594339706559013,-0.007468029602375182
rxn05346_c0,3.728369053909268e-18,3.3381979298685775e-18,-1.3970097798569647e-17,-1.983449007956314e-18,2.180298077712254e-17
rxn00416_c0,1.4847873461755943e-18,1.93122540624891e-18,2.459237915177604e-19,-1.0423319146661384e-19,1.9650520851120445e-19
rxn02270_c0,-0.011703572770780931,0.027173416145367287,0.03555751481931323,0.03168735148648803,-0.03581615232100367
rxn02376_c0,-0.054058029625582676,0.06366621499337025,0.03705615409168576,-0.0027136507714683854,-0.07080342485552996
rxn12512_c0,-0.02521158261946096,-0.11015771050509494,0.040230781823559866,0.040712216291705856,0.013562769260010944
rxn00902_c0,0.010613941479087615,0.11535383928156881,-0.04201501101330596,-0.05002431813135914,0.004124514435724522
rxn06672_c0,0.03274784963971903,0.014702661075708051,-0.026566041680812755,0.04285680459876424,-0.1006366092461489
rxn01739_c0,0.12096056167954124,-0.02941168137894752,0.0208549064906241,0.00420724001418275,-0.021409867810669968
rxn01268_c0,0.03248898324787021,0.049144053197195586,0.04443710086089536,0.026077466869004882,-0.020963935625189008
rxn07434_c0,0.011703572770780931,-0.027173416145367287,-0.03555751481931323,-0.03168735148648803,0.03581615232100367
rxn01974_c0,1.4930279900757318e-18,1.3167411637046646e-18,1.470052639688169e-19,3.3693419086215538e-18,1.0543641837196928e-18
rxn00568_c0,0.04358654868355919,0.014872977004588278,-0.06291953303392755,-0.05305931000819127,0.0500526100064152
rxn00060_c0,2.4339700475921778e-20,-1.3489267253051054e-20,-3.585521108924706e-21,3.275236211619899e-21,-1.704599506376527e-20
rxn00225_c0,-0.01738384061386175,0.06449424564347435,0.00997215711107891,0.018927692806270865,-0.05522793965104983
rxn05350_c0,7.227997463600567e-19,5.324509978454032e-18,-1.3750832689382252e-17,-1.7789192259391986e-18,2.0855138165699145e-17
rxn00148_c0,0.015295611579999403,0.0632319685820072,0.05751871493137617,0.049550990639757514,0.07873330219619082
rxn00100_c0,-0.025224262205541303,-0.11010918915671548,0.040278598699182364,0.04074049291454384,0.013374580827583471
rxn00789_c0,-1.379624524615375e-19,7.40964614758958e-19,7.215357744598377e-19,-3.553725205743869e-19,9.381963652532957e-19
rxn03436_c0,-0.01170357277078092,0.027173416145367287,0.035557514819313255,0.03168735148648801,-0.03581615232100372
rxn00781_c0,0.01866062979331372,0.04293177285059675,0.11148624858336276,-0.047045165445417064,0.09669655624845602
rxn05298_c0,0.011539483825315361,0.014586752327938355,0.0177944814734363,0.005199057530752224,-0.0190378282503853
rxn08336_c0,0.05036427354337046,-0.05910893783096235,-0.07804099795417467,0.033582446045602975,-0.08543283387849404
rxn02264_c0,2.2365062610590364e-20,-2.4745980797817945e-20,-1.1571234899229186e-20,-8.353928082196523e-21,-2.5302192549395085e-20
rxn09202_c0,-3.1923955174164526e-20,-2.0686750486616946e-20,3.174314771268298e-20,5.565668728104653e-20,1.0826552732701104e-19
rxn01451_c0,0.003433849000789778,0.018526370328970778,0.00938234817098507,0.0071589493682961206,-0.002798706514312049
rxn00097_c0,-0.019945276068306317,-0.005054400750160586,0.03602239594693651,-0.09330963684024045,-0.019885749416801456
rxn05514_c0,-6.662547641349926e-21,7.552654949856578e-21,1.2625041474242317e-20,-5.163827872568692e-21,9.649460272113575e-21
rxn02212_c0,0.12096056167954124,-0.02941168137894749,0.02085490649062412,0.004207240014182765,-0.02140986781067002
rxn00191_c0,0.019168234850687367,-0.005517208409527215,-0.01758609072073419,-0.009040198002383584,-0.011762262904296153
rxn05324_c0,4.0169899658667706e-19,5.736940817021205e-18,-8.628061457363645e-18,1.4622710010845295e-18,2.1680973479842213e-17
rxn00692_c0,0.012307033509593201,0.015931681299592593,-0.014252244026843474,0.03067905515459067,-0.02012646942831274
rxn00802_c0,-0.020009312393062577,-0.02823964462864596,0.05119914537106528,-0.1313621536054804,-0.058236984760951925
rxn02160_c0,-3.3947314830780124e-19,-7.257187783644569e-19,4.3198114924226647e-19,-8.312692320087012e-19,5.710099603358851e-19
rxn01825_c0,-0.120960561679541,0.02941168137894774,-0.020854906490624027,-0.0042072400141823845,0.021409867810669808
