,PC1,PC2,PC3,PC4,PC5
rxn02201_c0,0.055794136679344165,-0.0057181697993484906,0.0006361195246887452,-0.002165441787451904,0.0036583585628765436
rxn07431_c0,-0.00928546224545174,-0.07360794268126322,-0.0977800088601352,0.014289834741562715,-0.12472295162368933
rxn00364_c0,0.05579413667934426,-0.005718169799348099,0.0006361195246827583,-0.0021654417874562306,0.0036583585628749866
rxn03408_c0,0.0054870413409596735,0.013618389235408954,0.03998187498026129,0.023830147279683873,0.0028029700895258413
rxn01673_c0,0.05579413667934427,-0.005718169799347237,0.0006361195246835288,-0.002165441787455819,0.003658358562874056
rxn02342_c0,0.02761578860012554,0.014631062515269647,-0.016932874594359503,0.04463605099054954,0.02408185095980706
rxn04070_c0,0.05579413667934427,-0.005718169799347116,0.0006361195246835618,-0.0021654417874557297,0.00365835856287406
rxn00199_c0,-0.008214890947466136,0.1311096264660793,0.02259436029744041,0.05424596808707959,-0.023550576695965126
rxn03433_c0,-0.009285462245451738,-0.07360794268126353,-0.09778000886013528,0.014289834741563054,-0.12472295162368933
rxn02944_c0,0.004856456721112188,-0.0738133680401422,0.12283243030570554,-0.019826481006038184,-0.04687649730921939
rxn00800_c0,0.055794136679343985,-0.005718169799320209,0.0006361195246232328,-0.002165441787474091,0.0036583585629780205
rxn00179_c0,0.03706765624724819,0.05196435581555172,-0.0929606571988567,0.013497862855956024,0.03832657889824744
rxn00587_c0,-0.0286616509481121,0.05552511951917295,0.02035460494305382,-0.004013803654206662,-0.023888813839771112
rxn00545_c0,0.02053985135586282,0.09552493781649764,-0.02953201095042061,-0.10206244472215825,-0.05890457496096095
rxn00501_c0,-0.055794136679339565,0.005718169799386908,-0.0006361195244082178,0.002165441787477218,-0.0036583585636152495
rxn02320_c0,-0.05579413667934427,0.005718169799347128,-0.0006361195246835019,0.0021654417874557943,-0.003658358562874058
rxn02504_c0,0.05579413667934432,-0.0057181697993465685,0.0006361195246893088,-0.0021654417874512996,0.003658358562875646
rxn04996_c0,0.004756280760624666,0.09512887722546386,0.04135059120184457,-0.04380596121638916,-0.033138150370178636
