,PC1,PC2,PC3,PC4,PC5
Glucose,-7.91961986920423,0.6767918800489198,-5.210946345153636,0.6068839145685114,-1.4329671596886373
Acetate,6.048113288503801,9.041617413041463,10.3559860794152,-2.2763461501169915,-7.873016311424347
3-hydroxybutyrate,-1.950943424989362,0.8921499747018742,2.867346921469936,3.416794696216177,0.7723749463890356
Alanine,-0.13346189803129438,1.4991293799203327,-1.2102011298603323,-2.8515632822028647,-1.4511034354339216
Proline,0.5272141206758271,1.3548294687142854,-1.9452325294923365,-0.24716255527021197,2.040624970688509
Glycerol-3-phosphate,-5.902835177884018,2.4316618845674456,-13.994257476320794,7.594663669280697,-7.320647790752609
DHPS (dihydroxypropanesulfonate),-4.5623358592690195,8.560530455305711,0.026225226858190256,0.4663137049995146,-8.734732236059333
Tyrosine,3.6013108219254333,13.508860219646706,6.2528687347221,6.148397531031934,12.304674608637676
Glutamate,-4.436710653084793,0.6703104864221825,-3.9695305472289806,-0.20048489069083988,5.797379260977426
Valine,-0.9286062549997767,-9.951872499508385,7.737597897250521,-5.261652560140747,-4.8934425418419645
Leucine,-6.652103272827909,-8.271684936751694,8.593183573561568,8.713551777312347,1.8764092904384673
Isoleucine,-6.061757467208767,-11.773006261972446,0.5300393935675146,0.4472052379225814,7.8495878587341945
3-methyl-2-oxobutanoic acid,1.3935148847367107,-4.319328706476755,7.476795213680117,-4.26509244793892,-5.2517813037797785
Arginine,22.41929672861748,-8.386642087461132,-5.465579833873042,9.453176818926531,-1.907707508114034
Lysine,4.848138311301629,0.1020274624880134,-4.960275911482904,-13.007083933720107,6.699850243804732
Phenol,0.20542624067861323,3.88099349054172,3.3990288532469077,0.7305118010295915,0.9590162348634642
Galactose,-4.332573742365193,-3.322682283691026,-1.18021350209491,0.10041382786502939,-1.3689181762879439
Aspartate,0.38175300732510553,3.0619697635299254,-3.2539204494678393,1.5842934865047398,1.5731497754726176
Glycine,3.4561802160997273,0.3443448969327971,-6.048914168797251,-11.152820645576988,0.36124927337639967
