,PC1,PC2,PC3,PC4,PC5
Glucose,24.69577296100124,0.8918592440279868,-5.49005732185863,-4.534966682674089,-0.5382185832845617
Acetate,-22.110484746240484,5.103817238181688,1.2983906001034073,-3.464403064720341,-1.3733152799787522
3-hydroxybutyrate,-1.8530424186217873,1.6195441602241996,-0.15256095828076785,-2.8669631621058884,-1.7908626680894313
Alanine,3.1303872713369767,-2.6457100746847337,-1.8003198094017725,-2.730475726917774,1.8360282586903798
Proline,15.407056774721578,-2.308664484080802,3.8849387107033544,-0.15307012747705812,-1.3728295703673878
Glycerol-3-phosphate,33.05195253193516,17.220194973392886,-0.870065243809478,9.232812867352628,0.17407324510324826
DHPS (dihydroxypropanesulfonate),2.41087174844487,3.300339788383831,-0.7260270134665018,0.9047058463606279,-0.707855455910454
Tyrosine,-30.184906575028528,5.856073965132776,1.4161187656787375,-3.2994429066169495,-1.6918560990649123
Glutamate,19.096768449436897,-6.077784909344103,2.807213076893566,-7.362915638423136,-4.379338586512282
Valine,-9.16751028253133,-7.287387678056308,-5.22784793474477,12.631219489926508,0.8286905366988968
Leucine,-9.035587055969174,-1.656527880317808,-4.87726510670795,-1.3094816898830899,-2.536364683693522
Isoleucine,-4.333400117904987,-5.827841553394102,-6.7301017074135645,4.133038703571812,-1.6172917124368282
3-methyl-2-oxobutanoic acid,-9.414863851064561,-3.7444646562285038,-3.708259921108988,5.405427807418817,0.24214488810254253
Arginine,5.28240833004783,-5.549229127802591,16.147421462963113,5.126495271801231,-5.1442833206118985
Lysine,-8.421639431850348,-2.534282071800488,1.4723024354112149,2.5930392962224578,-0.18372770243238376
Phenol,-37.597822975066315,6.067431601489088,-0.26196409957130484,-3.121996969982675,-0.376727954973158
Galactose,21.936585429178,-3.151787388996015,-6.527265944002437,-7.259191160803345,-0.1458820751868557
Aspartate,6.250992545605979,2.91365120539918,4.781427686798191,-2.3347829589421103,0.3817887909403326
Glycine,0.8564614125688786,-2.189232351526113,4.563922321814593,-1.5890491941076954,18.395827973006973
