,H2O,H+,CO2,NH3,Phosphate,D-Glucose,O2,Acetate,(R)-3-Hydroxybutanoate,L-Alanine,L-Proline,Glycerol-3-phosphate,Sulfite,"(S)-2,3-dihydroxypropane-1-sulfonate",L-Tyrosine,L-Glutamate,L-Valine,L-Leucine,L-Isoleucine,3-Methyl-2-oxobutanoate,L-Arginine,L-Lysine,Phenol,Galactose,D-Mannuronate,D-Galacturonate,Pyruvate,L-Aspartate,Glycine,Other
Glycerol-3-phosphate,19.42900914120991,3.6974461768243785,8.274583362247963,-4.512502535182254,8.644740789837101,0.0,-11.240572166512449,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12713753082573792
Isoleucine,15.844638486961085,-1.249719892582002,10.539219696478929,0.5332357731917086,-0.31229445637559744,0.0,-15.940730540556093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11176162345223602
Leucine,16.141888166782906,-1.3948877725487847,11.274410664730636,0.7104041199503651,-0.29834638954474374,0.0,-16.736149337011618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10676999276133116
DHPS (dihydroxypropanesulfonate),20.649209185628482,3.201127658810156,11.292517822784172,-3.785232367172756,-0.29800285995637743,0.0,-14.55553525701933,0.0,0.0,0.0,0.0,0.0,8.90040920134126,-8.999999999999915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0070562542819129475
Proline,9.848738091462918,-2.294226398000805,11.302890449557244,1.6191544402879279,-0.2976574964377727,0.0,-12.72151936412022,0.0,0.0,0.0,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09869226058495811
Valine,15.379668120545082,-2.3621753935201624,11.615183370266035,1.692524466183497,-0.29188123875236704,0.0,-15.754838598723145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10445629255414202
Glucose,20.956825941776756,2.9513060092418097,12.05334979723237,-3.601884980037945,-0.28356833112656515,-4.5,-10.828900205891264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10148133083804059
Galactose,21.034399775821612,2.913421261860619,12.245214031355736,-3.5556490078488627,-0.2799282766705908,0.0,-11.036482214892525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,-0.10017865515118585
3-hydroxybutyrate,21.091650701013315,-3.8645383828435427,12.386813386989378,-3.5215260046795027,-0.27724184911517935,0.0,-14.564681579276424,0.0,-6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0992172563855404
Lysine,12.167931812901141,-1.648112661484955,12.58607493174126,5.528225504369219,-0.27332502432193656,0.0,-15.909451506213662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.49999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09062450920134364
3-methyl-2-oxobutanoic acid,15.832517238676184,-2.5833333993531578,12.735220175117666,-3.4375659761728183,-0.27063186426075975,0.0,-14.266630317845465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09685172403865408
Alanine,12.59430977723158,-6.360022086928635,13.63004572004796,5.778071551053293,-0.25365520507743033,0.0,-12.534761169178712,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09077624318271013
Glutamate,10.825242643462525,-8.175128776411894,13.706552325164951,2.196508323715204,-0.25220371929035584,0.0,-9.917535297794174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0902567962163447
Arginine,-0.624102077189149,-10.997541340580876,14.326500839933894,14.945905226261706,-0.2404420360148422,0.0,-11.03827082472088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08604761225362226
Galacturonic Acid,17.712967101812698,-2.1621558765739435,15.160177822284686,-2.8531929957346702,-0.2246254893386251,0.0,-9.690243741378003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,-0.08038730385607318
Mannuronic Acid,17.712967101813113,-2.1621558765740203,15.160177822285338,-2.8531929957345468,-0.22462548933862636,0.0,-9.690243741378769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,-0.08038730385606481
Acetate,22.367631432957495,-11.237689323985204,15.542710847843116,-2.761009132431738,-0.21736806040388104,0.0,-14.604114384426891,-13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07779006902442066
Aspartate,8.983629681310545,-11.2943394095407,15.829610616997808,4.058128765041954,-0.21192498870313592,0.0,-8.16451736669839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.75,0.0,-0.07584214290077552
Tyrosine,7.48886662285405,-0.7968969756307248,15.842563203275843,0.3112501149989113,-0.21167925181730887,0.0,-16.42853104618193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07575420040694263
Pyruvate,13.522295764102061,-6.813222771396193,15.92524387340089,-2.668825269129024,-0.21011063146915182,0.0,-10.51798502747513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,-0.07519283419277266
Phenol,9.022295764102424,2.1867772286038716,15.9252438734007,-2.6688252691292176,-0.21011063146928752,0.0,-19.517985027475106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.07519283419277022
