substrate,met_id,o2_bound,o2_percent,o2_flux,growth_rate,biomass_c,co2_flux,organic_c_flux,c_ex_fluxes,cue,bge,gge
Glucose,cpd00027,2.2517147282345404,10.0,-2.252,0.348,14.96,16.559,28.482,"{'EX_cpd00029_e0': 28.469, 'EX_cpd15380_e0': 0.007, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.724,0.475,0.249
Glucose,cpd00027,4.503429456469081,20.0,-4.503,0.4,17.187,16.047,26.768,"{'EX_cpd00029_e0': 26.752, 'EX_cpd15380_e0': 0.009, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.733,0.517,0.286
Glucose,cpd00027,6.755144184703621,30.0,-6.755,0.452,19.415,15.535,25.053,"{'EX_cpd00029_e0': 25.036, 'EX_cpd15380_e0': 0.01, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.741,0.556,0.324
Glucose,cpd00027,9.006858912938162,40.0,-9.007,0.504,21.642,15.022,23.338,"{'EX_cpd00029_e0': 23.319, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.75,0.59,0.361
Glucose,cpd00027,11.258573641172699,49.99999999999999,-11.259,0.556,23.869,14.51,21.624,"{'EX_cpd00029_e0': 21.602, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.758,0.622,0.398
Glucose,cpd00027,13.510288369407242,60.0,-13.51,0.607,26.049,15.646,18.309,"{'EX_cpd00029_e0': 18.285, 'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.739,0.625,0.434
Glucose,cpd00027,15.762003097641783,70.0,-15.762,0.656,28.191,18.073,13.739,"{'EX_cpd00029_e0': 13.714, 'EX_cpd15380_e0': 0.014, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.699,0.609,0.47
Glucose,cpd00027,18.013717825876324,80.0,-18.014,0.706,30.333,20.501,9.17,"{'EX_cpd00029_e0': 9.143, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.658,0.597,0.506
Glucose,cpd00027,20.265432554110863,90.0,-20.265,0.756,32.476,22.928,4.6,"{'EX_cpd00029_e0': 4.571, 'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.618,0.586,0.541
Glucose,cpd00027,22.517147282345398,99.99999999999999,-22.517,0.806,34.618,25.355,0.031,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.577,0.577,0.577
Glucose,cpd00027,50.0,222.05299531527496,-22.517,0.806,34.618,25.355,0.031,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.577,0.577,0.577
Glucose,cpd00027,40.0,177.64239625221998,-22.517,0.806,34.618,25.355,0.031,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.577,0.577,0.577
Glucose,cpd00027,30.0,133.23179718916498,-22.517,0.806,34.618,25.355,0.031,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.577,0.577,0.577
Glucose,cpd00027,20.0,88.82119812610999,-20.0,0.75,32.223,22.642,5.139,"{'EX_cpd00029_e0': 5.11, 'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.623,0.587,0.537
Glucose,cpd00027,10.0,44.410599063054995,-10.0,0.527,22.624,14.796,22.582,"{'EX_cpd00029_e0': 22.562, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.753,0.605,0.377
Glucose,cpd00027,1.0,4.441059906305499,-1.0,0.32,13.722,16.844,29.436,"{'EX_cpd00029_e0': 29.423, 'EX_cpd15380_e0': 0.007, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.719,0.449,0.229
Acetate,cpd00029,3.0911331781470097,10.0,-3.091,0.013,0.564,3.137,0.001,"{'EX_cpd15380_e0': 0.0, 'EX_cpd01042_e0': 0.0, 'EX_cpd00204_e0': 0.0}",0.152,0.152,0.152
Acetate,cpd00029,6.182266356294019,20.0,-6.182,0.081,3.486,6.468,0.003,"{'EX_cpd15380_e0': 0.002, 'EX_cpd01042_e0': 0.001, 'EX_cpd00204_e0': 0.0}",0.35,0.35,0.35
Acetate,cpd00029,9.27339953444103,30.000000000000004,-9.273,0.149,6.409,9.799,0.006,"{'EX_cpd15380_e0': 0.003, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.396,0.395,0.395
Acetate,cpd00029,12.364532712588039,40.0,-12.365,0.217,9.331,13.13,0.008,"{'EX_cpd15380_e0': 0.005, 'EX_cpd01042_e0': 0.003, 'EX_cpd00204_e0': 0.0}",0.416,0.415,0.415
Acetate,cpd00029,15.45566589073505,50.000000000000014,-15.456,0.285,12.253,16.46,0.011,"{'EX_cpd15380_e0': 0.006, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.427,0.427,0.427
Acetate,cpd00029,18.54679906888206,60.00000000000001,-18.547,0.353,15.176,19.791,0.014,"{'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.434,0.434,0.434
Acetate,cpd00029,21.637932247029067,70.0,-21.638,0.421,18.098,23.122,0.016,"{'EX_cpd15380_e0': 0.009, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.439,0.439,0.439
Acetate,cpd00029,24.729065425176078,80.0,-24.729,0.489,21.021,26.452,0.019,"{'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.443,0.443,0.443
Acetate,cpd00029,27.82019860332309,90.0,-27.82,0.557,23.943,29.783,0.022,"{'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.446,0.446,0.445
Acetate,cpd00029,30.9113317814701,100.00000000000003,-30.911,0.626,26.865,33.114,0.024,"{'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.448,0.448,0.448
Acetate,cpd00029,50.0,161.75297898349586,-30.911,0.626,26.865,33.114,0.024,"{'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.448,0.448,0.448
Acetate,cpd00029,40.0,129.4023831867967,-30.911,0.626,26.865,33.114,0.024,"{'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.448,0.448,0.448
Acetate,cpd00029,30.0,97.05178739009752,-30.0,0.605,26.004,32.132,0.023,"{'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.447,0.447,0.447
Acetate,cpd00029,20.0,64.70119159339835,-20.0,0.385,16.55,21.357,0.015,"{'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.437,0.437,0.436
Acetate,cpd00029,10.0,32.350595796699174,-10.0,0.165,7.096,10.582,0.006,"{'EX_cpd15380_e0': 0.004, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.402,0.401,0.401
3-hydroxybutyrate,cpd00797,3.0823703325580096,10.0,-3.082,0.174,7.476,2.123,50.401,"{'EX_cpd00029_e0': 50.394, 'EX_cpd15380_e0': 0.004, 'EX_cpd01042_e0': 0.003, 'EX_cpd00204_e0': 0.0}",0.965,0.779,0.125
3-hydroxybutyrate,cpd00797,6.164740665116019,20.0,-6.165,0.244,10.461,2.971,46.569,"{'EX_cpd00029_e0': 46.559, 'EX_cpd15380_e0': 0.005, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.95,0.779,0.174
3-hydroxybutyrate,cpd00797,9.247110997674028,30.0,-9.247,0.313,13.447,3.819,42.736,"{'EX_cpd00029_e0': 42.724, 'EX_cpd15380_e0': 0.007, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.936,0.779,0.224
3-hydroxybutyrate,cpd00797,12.329481330232039,40.0,-12.329,0.382,16.388,6.173,37.44,"{'EX_cpd00029_e0': 37.426, 'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.897,0.726,0.273
3-hydroxybutyrate,cpd00797,15.411851662790047,50.0,-15.412,0.449,19.303,9.494,31.205,"{'EX_cpd00029_e0': 31.188, 'EX_cpd15380_e0': 0.01, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.842,0.67,0.322
3-hydroxybutyrate,cpd00797,18.494221995348056,60.0,-18.494,0.517,22.217,12.816,24.97,"{'EX_cpd00029_e0': 24.95, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.786,0.634,0.37
3-hydroxybutyrate,cpd00797,21.576592327906063,69.99999999999999,-21.577,0.585,25.131,16.137,18.735,"{'EX_cpd00029_e0': 18.713, 'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.731,0.609,0.419
3-hydroxybutyrate,cpd00797,24.658962660464077,80.0,-24.659,0.653,28.045,19.458,12.5,"{'EX_cpd00029_e0': 12.475, 'EX_cpd15380_e0': 0.014, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.676,0.59,0.467
3-hydroxybutyrate,cpd00797,27.741332993022084,89.99999999999999,-27.741,0.721,30.959,22.779,6.265,"{'EX_cpd00029_e0': 6.238, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.62,0.576,0.516
3-hydroxybutyrate,cpd00797,30.823703325580095,100.0,-30.824,0.789,33.873,26.101,0.03,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.565,0.565,0.565
3-hydroxybutyrate,cpd00797,50.0,162.2128252139833,-30.824,0.789,33.873,26.101,0.03,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.565,0.565,0.565
3-hydroxybutyrate,cpd00797,40.0,129.77026017118664,-30.824,0.789,33.873,26.101,0.03,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.565,0.565,0.565
3-hydroxybutyrate,cpd00797,30.0,97.32769512838999,-30.0,0.771,33.094,25.213,1.697,"{'EX_cpd00029_e0': 1.667, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.58,0.568,0.552
3-hydroxybutyrate,cpd00797,20.0,64.88513008559332,-20.0,0.55,23.64,14.438,21.925,"{'EX_cpd00029_e0': 21.903, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.759,0.621,0.394
3-hydroxybutyrate,cpd00797,10.0,32.44256504279666,-10.0,0.33,14.176,4.026,41.8,"{'EX_cpd00029_e0': 41.787, 'EX_cpd15380_e0': 0.007, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.933,0.779,0.236
3-hydroxybutyrate,cpd00797,1.0,3.244256504279666,-1.0,0.127,5.46,1.551,52.99,"{'EX_cpd00029_e0': 52.985, 'EX_cpd15380_e0': 0.003, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.974,0.779,0.091
Alanine,cpd00035,2.6312769080921505,10.0,-2.631,0.193,8.3,18.091,33.61,"{'EX_cpd00029_e0': 33.602, 'EX_cpd15380_e0': 0.004, 'EX_cpd01042_e0': 0.003, 'EX_cpd00204_e0': 0.0}",0.698,0.315,0.138
Alanine,cpd00035,5.262553816184301,20.0,-5.263,0.253,10.887,17.496,31.619,"{'EX_cpd00029_e0': 31.609, 'EX_cpd15380_e0': 0.005, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.708,0.384,0.181
