name,name_in_model,met_id,exchange_id,n_c,entry_point,nosc,o2_saturation,atp_cost
Glucose,D-Glucose,cpd00027,EX_cpd00027_e0,6,Glycolysis,0.0,22.5171472823454,555.3333333333335
Acetate,Acetate,cpd00029,EX_cpd00029_e0,2,Acetyl-CoA,0.0,30.911331781470096,686.0
3-hydroxybutyrate,(R)-3-Hydroxybutanoate,cpd00797,EX_cpd00797_e0,4,Acetyl-CoA,-0.5,30.823703325580095,636.1090909090914
Alanine,L-Alanine,cpd00035,EX_cpd00035_e0,3,Pyruvate,0.0,26.312769080921505,613.7894736842107
Proline,L-Proline,cpd00129,EX_cpd00129_e0,5,TCA — α-KG,-0.40000000000000036,28.261175635882566,574.7567567567571
Glycerol-3-phosphate,Glycerol-3-phosphate,cpd00080,EX_cpd00080_e0,3,Glycolysis,-0.666666666666667,23.436793519435675,527.6923076923084
DHPS (dihydroxypropanesulfonate),"(S)-2,3-dihydroxypropane-1-sulfonate",cpd23538,EX_cpd23538_e0,3,Pyruvate,1.3333333333333335,30.803741965282576,623.6363636363635
Tyrosine,L-Tyrosine,cpd00069,EX_cpd00069_e0,9,Aromatic catabolism,-0.22222222222222232,34.95407703017607,600.2499999999999
Glutamate,L-Glutamate,cpd00023,EX_cpd00023_e0,5,TCA — α-KG,0.3999999999999999,20.496711588953204,555.3333333333339
Valine,L-Valine,cpd00156,EX_cpd00156_e0,5,TCA — Succinyl-CoA,-0.7999999999999998,33.55305000753652,647.8888888888889
Leucine,L-Leucine,cpd00107,EX_cpd00107_e0,6,Acetyl-CoA,-1.0,35.643237135778854,654.8181818181821
Isoleucine,L-Isoleucine,cpd00322,EX_cpd00322_e0,6,TCA — Succinyl-CoA,-1.0,33.878721159144,626.3478260869557
3-methyl-2-oxobutanoic acid,3-Methyl-2-oxobutanoate,cpd00123,EX_cpd00123_e0,5,TCA — Succinyl-CoA,-0.40000000000000036,30.160919456247104,645.0447761194029
Arginine,L-Arginine,cpd00051,EX_cpd00051_e0,6,TCA — α-KG,0.3333333333333335,23.558369192817707,609.7777777777789
Lysine,L-Lysine,cpd00039,EX_cpd00039_e0,6,Acetyl-CoA,-0.666666666666667,35.35433668047477,653.3333333333334
Phenol,Phenol,cpd00127,EX_cpd00127_e0,6,Aromatic catabolism,-0.666666666666667,41.83104432157713,600.2499999999999
Galactose,Galactose,cpd00108,EX_cpd00108_e0,6,Glycolysis,0.0,22.97844063566863,553.7590361445781
Mannuronic Acid,D-Mannuronate,cpd01384,EX_cpd01384_e0,6,ED - KDPG,0.6666666666666665,19.991619241361825,564.941176470589
Galacturonic Acid,D-Galacturonate,cpd00280,EX_cpd00280_e0,6,ED - KDPG,0.6666666666666665,19.99161924136158,564.9411764705883
Pyruvate,Pyruvate,cpd00020,EX_cpd00020_e0,3,Other,0.6666666666666665,21.831044321577156,600.25
Aspartate,L-Aspartate,cpd00041,EX_cpd00041_e0,4,TCA — OAA,1.0,16.601116186521693,558.3720930232556
Glycine,Glycine,cpd00033,EX_cpd00033_e0,2,Pyruvate,1.0,18.31604065627953,561.2727272727267
