substrate,o2_supply,growth_rate
Phenol,0.0,0.0
Phenol,5.0,0.03118084402215176
Phenol,10.0,0.10918170461540111
Phenol,15.0,0.18718256520865031
Phenol,20.0,0.2651834258019002
Phenol,25.0,0.3431842863951508
Phenol,30.0,0.4211851469883991
Phenol,35.0,0.4991860075816681
Phenol,40.0,0.5771868681748821
Phenol,45.0,0.6057514747483752
Phenol,50.0,0.6057514747483758
Phenol,55.0,0.6057514747483779
Phenol,60.0,0.6057514747483771
Phenol,65.0,0.6057514747484893
Phenol,70.0,0.6057514747483687
Phenol,75.0,0.6057514747483681
Phenol,80.0,0.6057514747483722
Phenol,85.0,0.6057514747483732
Phenol,90.0,0.6057514747483776
Phenol,95.0,0.605751474748383
Phenol,100.0,0.605751474748381
Phenol,105.0,0.6057514747483708
Phenol,110.0,0.6057514747483759
Phenol,115.0,0.6057514747483776
Phenol,120.0,0.6057514747483732
Phenol,125.0,0.6057514747482587
Phenol,130.0,0.6057514747483738
Phenol,135.0,0.6057514747483772
Phenol,140.0,0.6057514747483771
Phenol,145.0,0.6057514747483732
Phenol,150.0,0.6057514747483795
Glucose,0.0,-9.054219682320663e-30
Glucose,5.0,0.4116273233032809
Glucose,10.0,0.5267810966076137
Glucose,15.0,0.639517333421757
Glucose,20.0,0.7502789322950332
Glucose,25.0,0.806039583813452
Glucose,30.0,0.8060395838134528
Glucose,35.0,0.8060395838134484
Glucose,40.0,0.8060395838134534
Glucose,45.0,0.80603958381345
Glucose,50.0,0.8060395838134593
Glucose,55.0,0.8060395838134524
Glucose,60.0,0.8060395838134484
Glucose,65.0,0.806039583813461
Glucose,70.0,0.8060395838134744
Glucose,75.0,0.8060395838134614
Glucose,80.0,0.8060395838134488
Glucose,85.0,0.8060395838134551
Glucose,90.0,0.806039583813473
Glucose,95.0,0.8060395838134614
Glucose,100.0,0.8060395838134488
Glucose,105.0,0.8060395838134551
Glucose,110.0,0.806039583813473
Glucose,115.0,0.8060395838134614
Glucose,120.0,0.8060395838134488
Glucose,125.0,0.8060395838134551
Glucose,130.0,0.806039583813473
Glucose,135.0,0.8060395838134614
Glucose,140.0,0.8060395838134488
Glucose,145.0,0.8060395838134551
Glucose,150.0,0.806039583813473
Acetate,0.0,0.0
Acetate,5.0,0.05515172977802722
Acetate,10.0,0.16521505117827887
Acetate,15.0,0.27527837257853993
Acetate,20.0,0.38534169397879886
Acetate,25.0,0.4954050153790543
Acetate,30.0,0.6054683367793182
Acetate,35.0,0.6255291773325493
Acetate,40.0,0.6255291773325596
Acetate,45.0,0.625529177332568
Acetate,50.0,0.6255291773325561
Acetate,55.0,0.6255291773325585
Acetate,60.0,0.6255291773325624
Acetate,65.0,0.6255291773325646
Acetate,70.0,0.6255291773325585
Acetate,75.0,0.6255291773325643
Acetate,80.0,0.6255291773325719
Acetate,85.0,0.625529177332568
Acetate,90.0,0.6255291773325561
Acetate,95.0,0.6255291773325663
Acetate,100.0,0.6255291773325187
Acetate,105.0,0.6255291773325653
Acetate,110.0,0.6255291773325676
Acetate,115.0,0.6255291773325605
Acetate,120.0,0.6255291773325657
Acetate,125.0,0.625529177332565
Acetate,130.0,0.6255291773325637
Acetate,135.0,0.6255291773325626
Acetate,140.0,0.6255291773325566
Acetate,145.0,0.6255291773325551
Acetate,150.0,0.6255291773325606
