,PC1,PC2,PC3,PC4,PC5
rxn02201_c0,0.05477747741097376,0.0021362145341504396,-0.002335786471802903,-0.004823111651420385,-0.0007055094891475252
rxn07431_c0,-0.021595112710734738,0.027403670237527527,0.14069125622960696,0.0030850872288141844,-0.10157668105392946
rxn00364_c0,0.05477747741097427,0.0021362145341523578,-0.0023357864718151536,-0.004823111651425968,-0.0007055094891479961
rxn01673_c0,0.0547774774109743,0.002136214534151897,-0.002335786471813251,-0.004823111651426652,-0.0007055094891466008
rxn05625_c0,-0.009780319563535343,0.048705915436003736,0.15138191215736216,0.011767230949417753,-0.02639818618861451
rxn02342_c0,-0.002328180348331939,-0.11772305191143026,0.01954809066859694,-0.048248165497110494,0.010599833709018866
rxn04070_c0,0.05477747741097425,0.0021362145341522623,-0.0023357864718132914,-0.004823111651426337,-0.0007055094891467996
rxn00199_c0,-0.004298866982822153,-0.02299790566960453,-0.014058713586794178,0.12153846470108468,0.0862670215979172
rxn03433_c0,-0.021595112710734724,0.0274036702375274,0.14069125622960676,0.0030850872288140734,-0.10157668105392936
rxn00800_c0,0.054777477410969166,0.002136214534395652,-0.0023357864723472254,-0.004823111651304709,-0.0007055094885314324
rxn00179_c0,0.054777477410974246,0.002136214534152006,-0.002335786471813273,-0.004823111651426754,-0.0007055094891469893
rxn00501_c0,-0.05477747741096787,-0.002136214536322651,0.0023357864735405204,0.004823111650677788,0.0007055094896026244
rxn02320_c0,-0.054777477410974246,-0.0021362145341520277,0.0023357864718133257,0.004823111651426665,0.00070550948914701
rxn02504_c0,0.05477747741097438,0.0021362145341507575,-0.002335786471805067,-0.004823111651419834,-0.000705509489147474
rxn04996_c0,0.024966994250625492,-0.008800432100500993,0.027945319436844702,0.13454845431751367,0.07613040163198605
rxn05334_c0,0.05477747741097426,0.002136214534151821,-0.002335786471813303,-0.0048231116514269945,-0.0007055094891465143
rxn05040_c0,0.05477747741097421,0.00213621453415339,-0.0023357864718145465,-0.004823111651430029,-0.0007055094891496241
rxn02988_c0,0.05477747741098665,0.002136214532759685,-0.0023357864729594857,-0.0048231116501658965,-0.0007055094876536589
rxn00165_c0,-0.007984168598087801,-0.14016089206846172,-0.006768284808435011,-0.059137442303534356,0.0021519638257082923
rxn01117_c0,-0.05477747741097426,-0.002136214534151888,0.0023357864718132498,0.004823111651426708,0.0007055094891468232
rxn01331_c0,0.05477747741097425,0.0021362145341519154,-0.002335786471813357,-0.004823111651426795,-0.000705509489146957
rxn00671_c0,-0.021595112710734724,0.0274036702375274,0.14069125622960676,0.0030850872288140764,-0.10157668105392935
rxn00710_c0,0.05477747741097424,0.002136214534151896,-0.002335786471813372,-0.004823111651426677,-0.0007055094891469726
rxn00910_c0,0.0024626393795032036,-0.09723088289581108,-0.03500179302869555,-0.05493412624580962,-0.048265878068874654
rxn01682_c0,0.024479340256058225,0.08093349146379147,0.0780102423146709,-0.046224744806900205,-0.037375981950992655
rxn03181_c0,0.054777477410974246,0.0021362145341519163,-0.00233578647181325,-0.004823111651426708,-0.0007055094891468791
rxn02331_c0,0.054777477410974246,0.0021362145341518863,-0.002335786471813316,-0.004823111651426693,-0.0007055094891468346
rxn00337_c0,0.054777477410974246,0.002136214534151871,-0.0023357864718133972,-0.0048231116514266805,-0.0007055094891469821
rxn05221_c0,0.0282511519607286,0.014842395161042563,0.023948019528180136,0.052973984523860505,0.0062353057334378756
rxn05346_c0,0.05477747741097425,0.002136214534151797,-0.0023357864718132277,-0.0048231116514269815,-0.000705509489146592
rxn00416_c0,0.05477747741097424,0.0021362145341519054,-0.002335786471813329,-0.00482311165142666,-0.0007055094891469402
rxn02270_c0,0.007949645977328522,-0.06683126505053351,-0.013543085849031645,0.09437966690336967,-0.16963996035855672
rxn02376_c0,0.05015812811647451,0.02722239515673973,-0.007406232571787905,0.052547082669746045,-0.0418199125867913
rxn12512_c0,0.054777477410969576,0.0021362145361546337,-0.0023357864729746636,-0.004823111650994436,-0.000705509489328685
rxn00902_c0,0.023156831000825412,-0.05736694694360539,0.09151572840101618,0.02841592773755065,0.08926378073084709
rxn06672_c0,0.013878180532438989,-0.015981174568686893,0.10462684626981533,0.07293645430361646,-0.00606045435995205
rxn01739_c0,0.054777477410974336,0.002136214534148479,-0.0023357864718103988,-0.004823111651418902,-0.0007055094891406158
rxn01268_c0,0.03822669646317856,0.03753162204517839,0.06663548706752902,0.06259799769888454,-0.07145794168704662
rxn07434_c0,-0.007949645977328524,0.06683126505053351,0.013543085849031656,-0.0943796669033697,0.16963996035855677
rxn01974_c0,0.054777477410974246,0.002136214534152023,-0.002335786471813359,-0.004823111651426655,-0.0007055094891468415
rxn00568_c0,-0.009780319563535426,0.0487059154360038,0.1513819121573621,0.011767230949417723,-0.026398186188614534
rxn00060_c0,0.05477747741097423,0.0021362145341519657,-0.0023357864718132303,-0.004823111651426675,-0.0007055094891468843
rxn00225_c0,0.02778541962328603,-0.09837561936880496,0.03053063900330221,0.08354992276215598,-0.0705815459306833
rxn05350_c0,0.05477747741097425,0.0021362145341517766,-0.0023357864718132363,-0.004823111651426951,-0.0007055094891465497
rxn00148_c0,0.030247067477087452,-0.08765596035442652,-0.007860748663836813,0.09207911328771738,0.03501078830819825
rxn00100_c0,0.05477747741096785,0.0021362145363225723,-0.002335786473540474,-0.00482311165067784,-0.0007055094896026014
rxn00789_c0,0.05477747741097425,0.0021362145341520095,-0.0023357864718133296,-0.004823111651426598,-0.0007055094891469099
rxn03436_c0,0.011772765071333081,-0.07635083409609342,0.014261969110537934,0.13030304320209068,-0.06451162205374375
rxn00781_c0,-0.05477747741097352,-0.0021362145341841635,0.0023357864719021045,0.004823111651399921,0.0007055094890418024
rxn05298_c0,0.03411181672170437,0.02670620951152231,-0.026026511159757373,-0.03857981529778328,-0.08929958648338181
rxn08336_c0,0.012829506043040503,0.07292718231599925,0.04779233255600606,0.11658358351152238,0.051260904914027815
rxn02264_c0,0.05477747741097426,0.0021362145341519787,-0.0023357864718131986,-0.00482311165142673,-0.0007055094891469541
