CleanName,Method,replicateID,timepoint,nM
3-phosphoglycerate,AN,A,4,0.288660691
3-phosphoglycerate,AN,B,4,0.288660691
3-phosphoglycerate,AN,C,4,0.288660691
3-phosphoglycerate,AN,C,32,5.207508302
3-phosphoglycerate,AN,A,32,4.814028013
3-phosphoglycerate,AN,B,32,0.288660691
3-phosphoglycerate,AN,A,24,4.406026832
3-phosphoglycerate,AN,B,24,3.47965205
3-phosphoglycerate,AN,C,24,3.443098755
3-phosphoglycerate,AN,A,16,3.364545727
3-phosphoglycerate,AN,C,16,3.560051748
3-phosphoglycerate,AN,B,16,8.577130087
3-phosphoglycerate,AN,C,22,2.900816442
3-phosphoglycerate,AN,B,22,0.288660691
3-phosphoglycerate,AN,A,22,0.288660691
3-phosphoglycerate,AN,C,2,0.288660691
3-phosphoglycerate,AN,A,2,3.059400405
3-phosphoglycerate,AN,B,2,0.288660691
3-phosphoglycerate,AN,B,46,3.50606186
3-phosphoglycerate,AN,A,46,0.288660691
3-phosphoglycerate,AN,C,46,3.717565624
3-phosphoglycerate,AN,B,34,0.288660691
3-phosphoglycerate,AN,A,34,0.288660691
3-phosphoglycerate,AN,C,34,4.210639465
3-phosphoglycerate,AN,B,44,3.805446025
3-phosphoglycerate,AN,A,44,0.288660691
3-phosphoglycerate,AN,C,44,3.259921064
3-phosphoglycerate,AN,C,8,0.288660691
3-phosphoglycerate,AN,B,8,0.288660691
3-phosphoglycerate,AN,A,8,0.288660691
3-phosphoglycerate,AN,B,12,10.35553327
3-phosphoglycerate,AN,A,12,9.799996843
3-phosphoglycerate,AN,C,12,5.615602857
3-phosphoglycerate,AN,A,6,4.97217478
3-phosphoglycerate,AN,C,6,0.288660691
3-phosphoglycerate,AN,B,6,0.288660691
3-phosphoglycerate,AN,A,0,0.288660691
3-phosphoglycerate,AN,C,0,0.288660691
3-phosphoglycerate,AN,B,0,0.288660691
3-phosphoglycerate,AN,C,20,0.288660691
3-phosphoglycerate,AN,B,20,0.288660691
3-phosphoglycerate,AN,A,20,0.288660691
3-phosphoglycerate,AN,B,38,4.045474358
3-phosphoglycerate,AN,A,38,7.435993492
3-phosphoglycerate,AN,C,38,3.461465381
3-phosphoglycerate,AN,C,42,3.004001379
3-phosphoglycerate,AN,A,42,3.334923524
3-phosphoglycerate,AN,B,42,3.471485228
3-phosphoglycerate,AN,A,14,4.142521345
3-phosphoglycerate,AN,B,14,2.996596606
3-phosphoglycerate,AN,C,14,0.288660691
3-phosphoglycerate,AN,B,10,0.288660691
3-phosphoglycerate,AN,C,10,7.873292132
3-phosphoglycerate,AN,A,10,0.288660691
3-phosphoglycerate,AN,C,26,0.288660691
3-phosphoglycerate,AN,B,26,3.38057741
3-phosphoglycerate,AN,A,26,0.288660691
3-phosphoglycerate,AN,B,18,0.288660691
3-phosphoglycerate,AN,A,18,0.288660691
3-phosphoglycerate,AN,C,18,0.288660691
3-phosphoglycerate,AN,A,36,3.042192175
3-phosphoglycerate,AN,B,36,12.16748177
3-phosphoglycerate,AN,C,36,4.437947729
3-phosphoglycerate,AN,A,30,3.239902779
3-phosphoglycerate,AN,C,30,2.896963565
3-phosphoglycerate,AN,B,30,3.207130545
3-phosphoglycerate,AN,B,40,0.288660691
3-phosphoglycerate,AN,C,40,0.288660691
3-phosphoglycerate,AN,A,40,3.06360159
3-phosphoglycerate,AN,B,28,3.51899067
3-phosphoglycerate,AN,A,28,0.288660691
3-phosphoglycerate,AN,C,28,0.288660691
a-ketoglutarate,AN,A,4,14.22830439
a-ketoglutarate,AN,B,4,16.98982448
