Comment,time_h,typeOfData,cell_count_mean,cell_count_sd,cell_count
a1 t4,4,extrapolated,63955102.928434305,0,63955102.928434305
b1 t4,4,extrapolated,63955102.928434305,0,63955102.928434305
c1 t4,4,extrapolated,63955102.928434305,0,63955102.928434305
c1 t32,32,measured,120333333.33333333,11372481.406154653,111000000
a1 t32,32,measured,120333333.33333333,11372481.406154653,117000000
b1 t32,32,measured,120333333.33333333,11372481.406154653,133000000
a1 t24,24,measured,107400000,12675961.50199266,99200000
b1 t24,24,measured,107400000,12675961.50199266,122000000
c1 t24,24,measured,107400000,12675961.50199266,101000000
a1 t16,16,measured,97600000,10209309.47713899,94500000
c1 t16,16,measured,97600000,10209309.47713899,89300000
b1 t16,16,measured,97600000,10209309.47713899,109000000
c1 t22,22,measured,113333333.33333333,11372481.406154653,104000000
b1 t22,22,measured,113333333.33333333,11372481.406154653,126000000
a1 t22,22,measured,113333333.33333333,11372481.406154653,110000000
c1 t2,2,extrapolated,63955102.928434305,0,63955102.928434305
a1 t2,2,extrapolated,63955102.928434305,0,63955102.928434305
b1 t2,2,extrapolated,63955102.928434305,0,63955102.928434305
b1 t46,46,measured,200333333.33333334,20526405.757787537,223000000
a1 t46,46,measured,200333333.33333334,20526405.757787537,183000000
c1 t46,46,measured,200333333.33333334,20526405.757787537,195000000
b1 t34,34,interpolated,132000000,31112698.372208092,132000000
a1 t34,34,measured,132000000,31112698.372208092,154000000
c1 t34,34,measured,132000000,31112698.372208092,110000000
b1 t44,44,measured,204000000,24979991.993593592,224000000
a1 t44,44,measured,204000000,24979991.993593592,212000000
c1 t44,44,measured,204000000,24979991.993593592,176000000
c1 t8,8,extrapolated,63955102.928434305,0,63955102.928434305
b1 t8,8,extrapolated,63955102.928434305,0,63955102.928434305
a1 t8,8,extrapolated,63955102.928434305,0,63955102.928434305
b1 t12,12,measured,67300000,6165225.056719341,63300000
a1 t12,12,measured,67300000,6165225.056719341,74400000
c1 t12,12,measured,67300000,6165225.056719341,64200000
a1 t6,6,extrapolated,63955102.928434305,0,63955102.928434305
c1 t6,6,extrapolated,63955102.928434305,0,63955102.928434305
b1 t6,6,extrapolated,63955102.928434305,0,63955102.928434305
a1 t0,0,extrapolated,63955102.928434305,0,63955102.928434305
c1 t0,0,extrapolated,63955102.928434305,0,63955102.928434305
b1 t0,0,extrapolated,63955102.928434305,0,63955102.928434305
c1 t20,20,measured,110000000,8717797.887081347,104000000
b1 t20,20,measured,110000000,8717797.887081347,120000000
a1 t20,20,measured,110000000,8717797.887081347,106000000
b1 t38,38,measured,186666666.66666666,10016652.800877813,198000000
a1 t38,38,measured,186666666.66666666,10016652.800877813,183000000
c1 t38,38,measured,186666666.66666666,10016652.800877813,179000000
c1 t42,42,measured,206666666.66666666,22501851.77565023,189000000
a1 t42,42,measured,206666666.66666666,22501851.77565023,199000000
b1 t42,42,measured,206666666.66666666,22501851.77565023,232000000
a1 t14,14,measured,77966666.66666667,6961561.127601577,76000000
b1 t14,14,measured,77966666.66666667,6961561.127601577,85700000
c1 t14,14,measured,77966666.66666667,6961561.127601577,72200000
b1 t10,10,extrapolated,63955102.928434305,0,63955102.928434305
c1 t10,10,extrapolated,63955102.928434305,0,63955102.928434305
a1 t10,10,extrapolated,63955102.928434305,0,63955102.928434305
c1 t26,26,interpolated,116500000,12020815.280171309,116500000
b1 t26,26,measured,116500000,12020815.280171309,125000000
a1 t26,26,measured,116500000,12020815.280171309,108000000
b1 t18,18,measured,109333333.33333333,6429100.507328637,114000000
a1 t18,18,measured,109333333.33333333,6429100.507328637,112000000
c1 t18,18,measured,109333333.33333333,6429100.507328637,102000000
a1 t36,36,measured,176666666.66666666,11372481.406154653,180000000
b1 t36,36,measured,176666666.66666666,11372481.406154653,186000000
c1 t36,36,measured,176666666.66666666,11372481.406154653,164000000
a1 t30,30,measured,119666666.66666667,9609023.53693305,118000000
c1 t30,30,measured,119666666.66666667,9609023.53693305,111000000
b1 t30,30,measured,119666666.66666667,9609023.53693305,130000000
b1 t40,40,measured,195666666.66666666,12897028.081435403,210000000
c1 t40,40,measured,195666666.66666666,12897028.081435403,185000000
a1 t40,40,measured,195666666.66666666,12897028.081435403,192000000
b1 t28,28,measured,118666666.66666667,6658328.118479393,126000000
a1 t28,28,measured,118666666.66666667,6658328.118479393,117000000
c1 t28,28,measured,118666666.66666667,6658328.118479393,113000000
