metabolite,interval_start_h,interval_end_h,dC_dt_nM_per_hr,mean_pro_density_cells_per_mL,per_pro_cell_rate_nmol_per_hr,per_pro_cell_rate_nmol_per_hr_raw,cell_density_quality
2_keto_3_deoxy_6_phosphogluconate,0,2,-0.02436944255555562,63955102.928434305,0.0,-3.810398457621904e-13,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,2,4,-0.08170516850000009,63955102.928434305,0.0,-1.2775394731430281e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,4,6,0.540417761388889,63955102.928434305,8.44995530682854e-12,8.44995530682854e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,6,8,0.2193072178333335,63955102.928434305,3.4290808362663113e-12,3.4290808362663113e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,8,10,1.0709911515,63955102.928434305,1.6745984330577e-11,1.6745984330577e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,10,12,-0.3257564623333331,65627551.464217156,0.0,-4.963715010927216e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,12,14,0.3455784962777777,72633333.33333334,4.757849879914332e-12,4.757849879914332e-12,measured
2_keto_3_deoxy_6_phosphogluconate,14,16,-0.9778472876111111,87783333.33333334,0.0,-1.113932736978672e-11,measured
2_keto_3_deoxy_6_phosphogluconate,16,18,-0.23023742000000036,103466666.66666666,0.0,-2.2252327963917564e-12,measured
2_keto_3_deoxy_6_phosphogluconate,18,20,-0.11870389511111079,109666666.66666666,0.0,-1.0824063383991867e-12,measured
2_keto_3_deoxy_6_phosphogluconate,20,22,0.41125748922222205,111666666.66666666,3.682902888557212e-12,3.682902888557212e-12,measured
2_keto_3_deoxy_6_phosphogluconate,22,24,0.6669868925000002,110366666.66666666,6.0433726291150735e-12,6.0433726291150735e-12,measured
2_keto_3_deoxy_6_phosphogluconate,24,26,-0.1536981879999999,111950000.0,0.0,-1.3729181598928084e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,26,28,0.28517100144444374,117583333.33333334,2.425267198677055e-12,2.425267198677055e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,28,30,-0.3611501886666657,119166666.66666669,0.0,-3.0306309538461452e-12,measured
2_keto_3_deoxy_6_phosphogluconate,30,32,0.847836432611111,120000000.0,7.065303605092591e-12,7.065303605092591e-12,measured
2_keto_3_deoxy_6_phosphogluconate,32,34,0.23857138205555595,126166666.66666666,1.8909224469396773e-12,1.8909224469396773e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,34,36,0.7544500544444444,154333333.3333333,4.8884452771778255e-12,4.8884452771778255e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,36,38,-0.506853447777778,181666666.66666663,0.0,-2.790018978593274e-12,measured
2_keto_3_deoxy_6_phosphogluconate,38,40,-1.2823165457777779,191166666.66666663,0.0,-6.7078459238593454e-12,measured
2_keto_3_deoxy_6_phosphogluconate,40,42,-0.8703784352777775,201166666.66666663,0.0,-4.326653365092515e-12,measured
2_keto_3_deoxy_6_phosphogluconate,42,44,-0.08258320477777814,205333333.3333333,0.0,-4.021909323593092e-13,measured
2_keto_3_deoxy_6_phosphogluconate,44,46,0.8696917786944447,202166666.6666667,4.301855459329487e-12,4.301855459329487e-12,measured
3-phosphoglycerate,0,2,-0.07696499205555557,63955102.928434305,0.0,-1.203422221705738e-12,partial_estimate
3-phosphoglycerate,2,4,0.2601952271666666,63955102.928434305,4.068404478338887e-12,4.068404478338887e-12,partial_estimate
3-phosphoglycerate,4,6,-0.15392998411111097,63955102.928434305,0.0,-2.4068444434114737e-12,partial_estimate
3-phosphoglycerate,6,8,0.4213684133888888,63955102.928434305,6.588503404652474e-12,6.588503404652474e-12,partial_estimate
3-phosphoglycerate,8,10,1.123424267111111,63955102.928434305,1.7565826895286552e-11,1.7565826895286552e-11,partial_estimate
3-phosphoglycerate,10,12,0.3645442538333332,65627551.464217156,5.554744092991155e-12,5.554744092991155e-12,partial_estimate
3-phosphoglycerate,12,14,0.39172855822222274,72633333.33333334,5.3932339360563015e-12,5.3932339360563015e-12,measured
3-phosphoglycerate,14,16,-1.3836194942777782,87783333.33333334,0.0,-1.5761756152775142e-11,measured
3-phosphoglycerate,16,18,-0.36454425383333333,103466666.66666666,0.0,-3.523301422358248e-12,measured
3-phosphoglycerate,18,20,-0.6679772076666666,109666666.66666666,0.0,-6.090977577507599e-12,measured
3-phosphoglycerate,20,22,0.5812664202222222,111666666.66666666,5.2053709273631845e-12,5.2053709273631845e-12,measured
3-phosphoglycerate,22,24,0.1717731510555558,110366666.66666666,1.556386146682777e-12,1.556386146682777e-12,measured
3-phosphoglycerate,24,26,0.034343012666666395,111950000.0,3.067709930028262e-13,3.067709930028262e-13,partial_estimate
3-phosphoglycerate,26,28,-0.11026559711111095,117583333.33333334,0.0,-9.37765531774154e-13,partial_estimate
3-phosphoglycerate,28,30,0.35290545633333326,119166666.66666669,2.9614443888111876e-12,2.9614443888111876e-12,measured
3-phosphoglycerate,30,32,0.0384249330555555,120000000.0,3.202077754629625e-13,3.202077754629625e-13,measured
3-phosphoglycerate,32,34,0.5724235991666669,126166666.66666666,4.5370430581241766e-12,4.5370430581241766e-12,partial_estimate
3-phosphoglycerate,34,36,0.2573742347222219,154333333.3333333,1.6676516288696884e-12,1.6676516288696884e-12,partial_estimate
3-phosphoglycerate,36,38,-0.06372432638888847,181666666.66666663,0.0,-3.507761085626889e-13,measured
3-phosphoglycerate,38,40,-0.5465117523888889,191166666.66666663,0.0,-2.858823464981111e-12,measured
3-phosphoglycerate,40,42,-0.42160585838888887,201166666.66666663,0.0,-2.0958037699530518e-12,measured
3-phosphoglycerate,42,44,0.2150758446111114,205333333.3333333,1.0474472951839842e-12,1.0474472951839842e-12,measured
3-phosphoglycerate,44,46,-0.1320695640833336,202166666.6666667,0.0,-6.532707209398198e-13,measured
a-ketoglutarate,0,2,0.4963955295,63955102.928434305,7.761625058370496e-12,7.761625058370496e-12,partial_estimate
a-ketoglutarate,2,4,-0.6899491912222242,63955102.928434305,0.0,-1.078802409237425e-11,partial_estimate
a-ketoglutarate,4,6,0.048901511666668895,63955102.928434305,7.646225152884147e-13,7.646225152884147e-13,partial_estimate
a-ketoglutarate,6,8,-0.2332559901111111,63955102.928434305,0.0,-3.647183405710789e-12,partial_estimate
a-ketoglutarate,8,10,1.8477440902222222,63955102.928434305,2.889126911874172e-11,2.889126911874172e-11,partial_estimate
a-ketoglutarate,10,12,0.3414333294444445,65627551.464217156,5.202591317620741e-12,5.202591317620741e-12,partial_estimate
a-ketoglutarate,12,14,0.3393897962222221,72633333.33333334,4.672645198103103e-12,4.672645198103103e-12,measured
a-ketoglutarate,14,16,0.3446217405555547,87783333.33333334,3.9258219922789595e-12,3.9258219922789595e-12,measured
a-ketoglutarate,16,18,0.11789652277777662,103466666.66666666,1.1394638155068618e-12,1.1394638155068618e-12,measured
a-ketoglutarate,18,20,0.4073878050000008,109666666.66666666,3.714782416413382e-12,3.714782416413382e-12,measured
a-ketoglutarate,20,22,0.023756583333332415,111666666.66666666,2.127455223880515e-13,2.127455223880515e-13,measured
a-ketoglutarate,22,24,0.8912915672222219,110366666.66666666,8.075731506090806e-12,8.075731506090806e-12,measured
a-ketoglutarate,24,26,1.1923993055555577,111950000.0,1.0651177360925036e-11,1.0651177360925036e-11,partial_estimate
a-ketoglutarate,26,28,1.0236452016666675,117583333.33333334,8.705699801559184e-12,8.705699801559184e-12,partial_estimate
a-ketoglutarate,28,30,0.6717959005555549,119166666.66666669,5.637448116550111e-12,5.637448116550111e-12,measured
