interval_start_h,interval_end_h,f,exchange_reaction,bound_value,flux_at_optimum,is_binding
0,2,10.0,EX_cpd00024_e0,0.0003104650023348199,-0.0003104650023348199,True
0,2,10.0,EX_cpd00018_e0,2.931618431845208e-05,-2.931618431845208e-05,True
0,2,10.0,EX_cpd00111_e0,0.0002210068432213706,-0.0002210068432213706,True
0,2,10.0,EX_cpd00080_e0,0.00010700810533866585,-0.00010700810533866585,True
0,2,10.0,EX_cpd00477_e0,4.4559101490480386e-05,-4.4559101490480386e-05,True
0,2,10.0,EX_cpd00091_e0,6.359579400040043e-05,-6.359579400040043e-05,True
2,4,10.0,EX_cpd00169_e0,0.0001627361791335555,-0.0001627361791335555,True
2,4,10.0,EX_cpd00018_e0,1.464158075849367e-05,-1.464158075849367e-05,True
2,4,10.0,EX_cpd00395_e0,0.00011108894408759676,-0.00011108894408759676,True
2,4,10.0,EX_cpd01311_e0,0.0002773800975969572,-0.0,False
2,4,10.0,EX_cpd00023_e0,0.010931577782066076,-0.010931577782066076,True
2,4,10.0,EX_cpd00111_e0,0.0006424410598266634,-0.0006424410598266634,True
2,4,10.0,EX_cpd00477_e0,4.4757343859432685e-06,-4.4757343859432685e-06,True
2,4,10.0,EX_cpd00061_e0,0.00010030788589059522,-0.00010030788589059522,True
2,4,10.0,EX_cpd00091_e0,4.442065009367396e-05,-4.442065009367396e-05,True
4,6,10.0,EX_cpd02711_e0,0.0003379982122731416,-0.0003379982122731416,True
4,6,10.0,EX_cpd00024_e0,3.0584900611536584e-05,-3.0584900611536584e-05,True
4,6,10.0,EX_cpd00018_e0,6.467918832521432e-05,-6.467918832521432e-05,True
4,6,10.0,EX_cpd00111_e0,0.0005996848055289516,-0.0005996848055289516,True
4,6,10.0,EX_cpd00477_e0,7.989378380618543e-05,-7.989378380618543e-05,True
4,6,10.0,EX_cpd00091_e0,1.5377677594137434e-05,-1.5377677594137434e-05,True
6,8,10.0,EX_cpd02711_e0,0.00013716323345065246,-0.00013716323345065246,True
6,8,10.0,EX_cpd00169_e0,0.000263540136186099,-0.000263540136186099,True
6,8,10.0,EX_cpd00018_e0,2.59980199212652e-05,-2.59980199212652e-05,True
6,8,10.0,EX_cpd00395_e0,0.0002478045499436078,-0.0002478045499436078,True
6,8,10.0,EX_cpd01311_e0,0.0003452596620395023,0.0,False
6,8,10.0,EX_cpd00023_e0,0.07271763380083264,-0.07271763380083264,True
6,8,10.0,EX_cpd00111_e0,4.2168159482407397e-05,-4.2168159482407397e-05,True
6,8,10.0,EX_cpd00061_e0,0.0003819902275751102,-0.0003819902275751102,True
6,8,10.0,EX_cpd00091_e0,7.641368016354532e-05,-7.641368016354532e-05,True
8,10,10.0,EX_cpd02711_e0,0.00066983937322308,-0.00066983937322308,True
8,10,10.0,EX_cpd00169_e0,0.0007026330758114622,-0.0007026330758114622,True
8,10,10.0,EX_cpd00024_e0,0.0011556507647496686,-0.0011556507647496686,True
8,10,10.0,EX_cpd00018_e0,0.00024017912398239966,-0.00024017912398239966,True
8,10,10.0,EX_cpd01311_e0,0.0003479979563342541,0.0,False
8,10,10.0,EX_cpd00023_e0,0.13463987584596018,-0.13463987584596018,True
8,10,10.0,EX_cpd00080_e0,0.00030923923424353613,-0.00030923923424353613,True
8,10,10.0,EX_cpd00477_e0,0.0002908014923936436,-0.0002908014923936436,True
8,10,10.0,EX_cpd00061_e0,0.0008149764212020201,-0.0008149764212020201,True
8,10,10.0,EX_cpd00091_e0,0.0004365946497415138,-0.0004365946497415138,True
10,12,10.0,EX_cpd00169_e0,0.00022218976371964617,-0.00022218976371964617,True
