interval_start_h,interval_end_h,f,growth_rate,status
0,2,10.0,8.951066381616769e-05,optimal
2,4,10.0,0.0008581648845542569,optimal
4,6,10.0,0.00018638644316877097,optimal
6,8,10.0,0.004603523031593325,optimal
8,10,10.0,0.008704112206501174,optimal
10,12,10.0,0.0023697111555010986,optimal
12,14,10.0,0.00012818922633430152,optimal
14,16,10.0,0.0001112962568088146,optimal
16,18,10.0,5.0416238265864026e-06,optimal
18,20,10.0,0.00011534299910065035,optimal
20,22,10.0,0.0009985552817032045,optimal
22,24,10.0,0.0002434162565868025,optimal
24,26,10.0,0.0006786017294811977,optimal
26,28,10.0,0.00025344182428713635,optimal
28,30,10.0,0.0015860796690951827,optimal
30,32,10.0,0.0004082409967086324,optimal
32,34,10.0,0.0015668919813548155,optimal
34,36,10.0,0.0005966716570096192,optimal
36,38,10.0,0.00010679018524158047,optimal
38,40,10.0,-1.52876967086549e-21,optimal
40,42,10.0,6.706717372567309e-05,optimal
42,44,10.0,1.1617843045530198e-06,optimal
44,46,10.0,0.0004853288040402563,optimal
