,Glu:Na⁺ symporter,Na⁺/H⁺ antiporter,Pi:3Na⁺ symporter,NaNQR (NADH→Na⁺ pump),Flagella Na⁺ import,Na+/Acetate symport (periplasm) …
0,-12.0,-41.515906967583,-1.7357427294162386,55.25164969699923,0.0,0.0
20,-12.0,-22.22010896625472,-1.6378330537947374,55.85794202004946,-20.0,0.0
40,-12.0,-2.834560591694337,-1.5397751816697989,56.37433577336414,-40.0,0.0
60,-12.0,14.148720994662225,-1.4408263866862543,56.35028026569358,-60.0,2.941825126330456
80,-12.0,33.451757278336466,-1.3418775917028953,56.32622475802302,-80.0,3.563895555343421
100,-12.0,52.75479356201037,-1.2429287967193572,56.302169250352456,-100.0,4.1859659843565415
120,-12.0,72.05782984568432,-1.143980001735839,56.278113742681874,-120.0,4.80803641336965
140,-12.0,91.3608661293584,-1.0450312067524896,56.25405823501134,-140.0,5.430106842382758
160,-12.0,110.66390241303193,-0.9460824117687718,56.23000272734077,-160.0,6.052177271396107
180,-12.0,129.96693869670582,-0.8471336167851093,56.205947219670136,-180.0,6.67424770040916
200,-12.0,149.26997498038057,-0.7481848218018783,56.18189171199941,-200.0,7.2963181294218975
